WETLAND,TRANSECT,SPECIES,STAGE,SEX,COUNT,MONTH,DAY,YEAR 
P03,A,AMMA,A,M,1,5,4,2011
P04,A,NONE,NA,NA,0,5,4,2011
P06,A,NONE,NA,NA,0,5,4,2011
P07,A,NONE,NA,NA,0,5,4,2011
P08,A,RAPI,A,U,1,5,4,2011
P11,A,NONE,NA,NA,0,5,4,2011
T01,A,NONE,NA,NA,0,5,4,2011
T02,A,NONE,NA,NA,0,5,4,2011
T03,A,NONE,NA,NA,0,5,4,2011
T04,A,NONE,NA,NA,0,5,4,2011
T05,A,NONE,NA,NA,0,5,4,2011
T06,A,NONE,NA,NA,0,5,4,2011
T07,A,RAPI,A,U,1,5,4,2011
T08,A,NONE,NA,NA,0,5,4,2011
T09,A,NONE,NA,NA,0,5,4,2011
P01,A,NONE,NA,NA,0,6,1,2011
P02,A,NONE,NA,NA,0,6,1,2011
P03,A,NONE,NA,NA,0,6,1,2011
P04,A,NONE,NA,NA,0,6,1,2011
P06,A,NONE,NA,NA,0,6,1,2011
P07,A,NONE,NA,NA,0,6,1,2011
P08,A,NONE,NA,NA,0,6,1,2011
P11,A,NONE,NA,NA,0,6,1,2011
T01,A,NONE,NA,NA,0,6,1,2011
T02,A,NONE,NA,NA,0,6,1,2011
T03,A,RAPI,A,U,2,6,1,2011
T04,A,RAPI,A,U,1,6,1,2011
T05,A,RAPI,A,U,2,6,1,2011
T06,A,NONE,NA,NA,0,6,1,2011
T07,A,AMMA,A,F,1,6,1,2011
T07,A,FROTAD,L,U,5,6,1,2011
T08,A,FROTAD,L,U,127,6,1,2011
T09,A,FROTAD,L,U,1,6,1,2011
P01,A,NONE,NA,NA,0,6,2,2011
P02,A,NONE,NA,NA,0,6,2,2011
P03,A,NONE,NA,NA,0,6,2,2011
P04,A,NONE,NA,NA,0,6,2,2011
P06,A,AMMA,A,M,1,6,2,2011
P07,A,NONE,NA,NA,0,6,2,2011
P08,A,NONE,NA,NA,0,6,2,2011
P11,A,NONE,NA,NA,0,6,2,2011
T01,A,NONE,NA,NA,0,6,2,2011
T02,A,NONE,NA,NA,0,6,2,2011
T03,A,NONE,NA,NA,0,6,2,2011
T04,A,NONE,NA,NA,0,6,2,2011
T05,A,FROTAD,L,U,3,6,2,2011
T06,A,NONE,NA,NA,0,6,2,2011
T07,A,AMMA,A,F,1,6,2,2011
T07,A,FROTAD,L,U,12,6,2,2011
T08,A,FROTAD,L,U,111,6,2,2011
T09,A,NONE,NA,NA,0,6,2,2011
P01,A,NONE,NA,NA,0,6,3,2011
P02,A,AMMA,L,U,1,6,3,2011
P03,A,NONE,NA,NA,0,6,3,2011
P06,A,NONE,NA,NA,0,6,3,2011
P07,A,NONE,NA,NA,0,6,3,2011
P08,A,NONE,NA,NA,0,6,3,2011
P11,A,NONE,NA,NA,0,6,3,2011
T01,A,AMMA,L,U,6,6,3,2011
T01,A,FROTAD,L,U,2,6,3,2011
T02,A,NONE,NA,NA,0,6,3,2011
T03,A,NONE,NA,NA,0,6,3,2011
T04,A,NONE,NA,NA,0,6,3,2011
T05,A,FROTAD,L,U,7,6,3,2011
T06,A,NONE,NA,NA,0,6,3,2011
T07,A,FROTAD,L,U,6,6,3,2011
T08,A,RAPI,A,U,1,6,3,2011
T08,A,FROTAD,L,U,134,6,3,2011
T09,A,RAPI,A,U,2,6,3,2011
T09,A,FROTAD,L,U,17,6,3,2011
P01,A,AMMA,A,F,1,6,4,2011
P01,A,AMMA,L,U,10,6,4,2011
P02,A,NONE,NA,NA,0,6,4,2011
P03,A,NONE,NA,NA,0,6,4,2011
P04,A,NONE,NA,NA,0,6,4,2011
P06,A,RAPI,A,U,1,6,4,2011
P07,A,NONE,NA,NA,0,6,4,2011
P08,A,NONE,NA,NA,0,6,4,2011
P11,A,NONE,NA,NA,0,6,4,2011
T01,A,AMMA,L,U,6,6,4,2011
T01,A,FROTAD,L,U,1,6,4,2011
T02,A,NONE,NA,NA,0,6,4,2011
T03,A,NONE,NA,NA,0,6,4,2011
T05,A,FROTAD,L,U,3,6,4,2011
T06,A,NONE,NA,NA,0,6,4,2011
T07,A,AMMA,A,F,1,6,4,2011
T07,A,FROTAD,L,U,17,6,4,2011
T08,A,AMMA,A,M,1,6,4,2011
T08,A,AMMA,A,M,1,6,4,2011
T08,A,FROTAD,L,U,216,6,4,2011
T09,A,FROTAD,L,U,4,6,4,2011
P01,A,AMMA,L,U,84,7,1,2011
P01,A,FROTAD,L,U,17,7,1,2011
P02,A,AMMA,L,U,156,7,1,2011
P03,A,NONE,NA,NA,0,7,1,2011
P04,A,AMMA,L,U,72,7,1,2011
P06,A,AMMA,L,U,312,7,1,2011
P07,A,NONE,NA,NA,0,7,1,2011
P08,A,AMMA,A,F,1,7,1,2011
P11,A,AMMA,L,U,7,7,1,2011
T01,A,AMMA,L,U,86,7,1,2011
T01,A,FROTAD,L,U,24,7,1,2011
T02,A,RASY,A,U,1,7,1,2011
T03,A,AMMA,L,U,10,7,1,2011
T03,A,FROTAD,L,U,2,7,1,2011
T04,A,NONE,NA,NA,0,7,1,2011
T05,A,FROTAD,L,U,58,7,1,2011
T06,A,NONE,NA,NA,0,7,1,2011
T07,A,FROTAD,L,U,75,7,1,2011
T08,A,FROTAD,L,U,125,7,1,2011
T09,A,AMMA,L,U,4,7,1,2011
T09,A,FROTAD,L,U,182,7,1,2011
P01,A,AMMA,L,U,41,7,2,2011
P01,A,FROTAD,L,U,23,7,2,2011
P02,A,AMMA,L,U,136,7,2,2011
P03,A,NONE,NA,NA,0,7,2,2011
P04,A,AMMA,L,U,51,7,2,2011
P06,A,AMMA,A,M,1,7,2,2011
P06,A,AMMA,L,U,279,7,2,2011
P07,A,AMMA,L,U,2,7,2,2011
P08,A,AMMA,A,F,3,7,2,2011
P08,A,FROTAD,L,U,4,7,2,2011
P11,A,AMMA,L,U,5,7,2,2011
T01,A,AMMA,L,U,71,7,2,2011
T01,A,FROTAD,L,U,8,7,2,2011
T02,A,NONE,NA,NA,0,7,2,2011
T03,A,AMMA,A,F,1,7,2,2011
T03,A,AMMA,A,M,1,7,2,2011
T03,A,AMMA,L,U,5,7,2,2011
T03,A,FROTAD,L,U,2,7,2,2011
T04,A,NONE,NA,NA,0,7,2,2011
T05,A,AMMA,A,F,1,7,2,2011
T06,A,RAPI,A,U,1,7,2,2011
T07,A,FROTAD,L,U,82,7,2,2011
T08,A,AMMA,A,F,1,7,2,2011
T08,A,FROTAD,L,U,166,7,2,2011
T09,A,AMMA,L,U,2,7,2,2011
T09,A,FROTAD,L,U,223,7,2,2011
P01,A,AMMA,L,U,57,7,3,2011
P01,A,FROTAD,L,U,15,7,3,2011
P02,A,AMMA,L,U,165,7,3,2011
P03,A,NONE,NA,NA,0,7,3,2011
P04,A,AMMA,L,U,87,7,3,2011
P06,A,AMMA,L,U,78,7,3,2011
P07,A,NONE,NA,NA,0,7,3,2011
P08,A,AMMA,A,F,1,7,3,2011
P11,A,AMMA,L,U,2,7,3,2011
T01,A,AMMA,L,U,71,7,3,2011
T01,A,FROTAD,L,U,7,7,3,2011
T02,A,NONE,NA,NA,0,7,3,2011
T03,A,AMMA,L,U,9,7,3,2011
T03,A,FROTAD,L,U,2,7,3,2011
T04,A,NONE,NA,NA,0,7,3,2011
T05,A,FROTAD,L,U,6,7,3,2011
T06,A,NONE,NA,NA,0,7,3,2011
T07,A,FROTAD,L,U,51,7,3,2011
T08,A,FROTAD,L,U,134,7,3,2011
T09,A,AMMA,L,U,2,7,3,2011
T09,A,FROTAD,L,U,198,7,3,2011
P01,A,AMMA,N,M,1,7,4,2011
P01,A,AMMA,L,U,53,7,4,2011
P01,A,FROTAD,L,U,4,7,4,2011
P02,A,AMMA,L,U,204,7,4,2011
P03,A,NONE,NA,NA,0,7,4,2011
P04,A,AMMA,L,U,94,7,4,2011
P06,A,AMMA,L,U,284,7,4,2011
P07,A,AMMA,L,U,4,7,4,2011
P08,A,AMMA,A,F,2,7,4,2011
P08,A,AMMA,A,M,1,7,4,2011
P11,A,AMMA,L,U,3,7,4,2011
T01,A,AMMA,L,U,47,7,4,2011
T01,A,FROTAD,L,U,3,7,4,2011
T02,A,NONE,NA,NA,0,7,4,2011
T03,A,AMMA,L,U,2,7,4,2011
T03,A,FROTAD,L,U,10,7,4,2011
T04,A,NONE,NA,NA,0,7,4,2011
T05,A,AMMA,A,F,1,7,4,2011
T05,A,FROTAD,L,U,15,7,4,2011
T06,A,NONE,NA,NA,0,7,4,2011
T07,A,FROTAD,L,U,34,7,4,2011
T08,A,FROTAD,L,U,38,7,4,2011
T09,A,FROTAD,L,U,58,7,4,2011
P01,A,AMMA,L,U,23,8,1,2011
P02,A,RAPI,A,U,1,8,1,2011
P02,A,AMMA,L,U,26,8,1,2011
P03,A,NONE,NA,NA,0,8,1,2011
P04,A,AMMA,L,U,4,8,1,2011
P06,A,AMMA,L,U,85,8,1,2011
P07,A,AMMA,N,U,1,8,1,2011
P08,A,NONE,NA,NA,0,8,1,2011
P11,A,AMMA,L,U,55,8,1,2011
T01,A,AMMA,L,U,41,8,1,2011
T02,A,NONE,NA,NA,0,8,1,2011
T03,A,AMMA,L,U,23,8,1,2011
T04,A,RAPI,A,U,6,8,1,2011
T05,A,RAPI,A,U,3,8,1,2011
T06,A,NONE,NA,NA,0,8,1,2011
T07,A,NONE,NA,NA,0,8,1,2011
T08,A,AMMA,L,U,32,8,1,2011
T09,A,RAPI,A,U,1,8,1,2011
T09,A,AMMA,L,U,18,8,1,2011
P01,A,AMMA,L,U,49,8,2,2011
P01,A,AMMA,N,U,1,8,2,2011
P02,A,AMMA,L,U,24,8,2,2011
P03,A,NONE,NA,NA,0,8,2,2011
P04,A,AMMA,L,U,47,8,2,2011
P06,A,AMMA,L,U,91,8,2,2011
P07,A,AMMA,L,U,6,8,2,2011
P07,A,AMMA,N,U,3,8,2,2011
P08,A,NONE,NA,NA,0,8,2,2011
P11,A,AMMA,L,U,59,8,2,2011
T01,A,AMMA,L,U,100,8,2,2011
T02,A,NONE,NA,NA,0,8,2,2011
T03,A,AMMA,L,U,47,8,2,2011
T04,A,RAPI,A,U,1,8,2,2011
T05,A,RAPI,A,U,4,8,2,2011
T06,A,NONE,NA,NA,0,8,2,2011
T07,A,NONE,NA,NA,0,8,2,2011
T08,A,AMMA,L,U,17,8,2,2011
T09,A,AMMA,L,U,13,8,2,2011
P01,A,AMMA,L,U,36,8,3,2011
P02,A,AMMA,L,U,30,8,3,2011
P03,A,NONE,NA,NA,0,8,3,2011
P04,A,AMMA,L,U,61,8,3,2011
P06,A,AMMA,L,U,80,8,3,2011
P07,A,AMMA,N,U,1,8,3,2011
P08,A,NONE,NA,NA,0,8,3,2011
P11,A,AMMA,L,U,38,8,3,2011
T01,A,AMMA,L,U,64,8,3,2011
T02,A,NONE,NA,NA,0,8,3,2011
T03,A,AMMA,L,U,39,8,3,2011
T04,A,RAPI,A,U,1,8,3,2011
T05,A,RAPI,A,U,2,8,3,2011
T06,A,RAPI,A,U,1,8,3,2011
T07,A,NONE,NA,NA,0,8,3,2011
T08,A,RAPI,A,U,1,8,3,2011
T08,A,AMMA,L,U,9,8,3,2011
T09,A,AMMA,L,U,22,8,3,2011
P01,A,AMMA,L,U,9,8,4,2011
P02,A,AMMA,L,U,31,8,4,2011
P03,A,NONE,NA,NA,0,8,4,2011
P04,A,AMMA,L,U,34,8,4,2011
P06,A,AMMA,L,U,44,8,4,2011
P07,A,AMMA,L,U,1,8,4,2011
P08,A,NONE,NA,NA,0,8,4,2011
P11,A,AMMA,L,U,17,8,4,2011
T01,A,AMMA,L,U,38,8,4,2011
T02,A,NONE,NA,NA,0,8,4,2011
T03,A,AMMA,L,U,36,8,4,2011
T04,A,NONE,NA,NA,0,8,4,2011
T05,A,RAPI,A,U,1,8,4,2011
T06,A,NONE,NA,NA,0,8,4,2011
T07,A,NONE,NA,NA,0,8,4,2011
T08,A,AMMA,L,U,16,8,4,2011
T09,A,AMMA,L,U,10,8,4,2011
P01,A,AMMA,L,U,45,9,1,2011
P02,A,AMMA,L,U,29,9,1,2011
P03,A,NONE,NA,NA,0,9,1,2011
P04,A,AMMA,L,U,1,9,1,2011
P06,A,RAPI,A,U,1,9,1,2011
P06,A,AMMA,L,U,3,9,1,2011
P07,A,NONE,NA,NA,0,9,1,2011
P08,A,NONE,NA,NA,0,9,1,2011
P11,A,RAPI,A,U,3,9,1,2011
T01,A,AMMA,L,U,36,9,1,2011
T02,A,NONE,NA,NA,0,9,1,2011
T03,A,AMMA,L,U,21,9,1,2011
T04,A,NONE,NA,NA,0,9,1,2011
T05,A,NONE,NA,NA,0,9,1,2011
T07,A,RAPI,A,U,1,9,1,2011
T08,A,NONE,NA,NA,0,9,1,2011
T09,A,NONE,NA,NA,0,9,1,2011
P01,A,AMMA,L,U,32,9,2,2011
P02,A,RAPI,A,U,8,9,2,2011
P02,A,AMMA,L,U,14,9,2,2011
P03,A,NONE,NA,NA,0,9,2,2011
P04,A,RAPI,A,U,3,9,2,2011
P04,A,AMMA,L,U,3,9,2,2011
P06,A,RAPI,A,U,1,9,2,2011
P06,A,RAPI,L,U,5,9,2,2011
P07,A,NONE,NA,NA,0,9,2,2011
P08,A,NONE,NA,NA,0,9,2,2011
P11,A,RAPI,A,U,4,9,2,2011
T01,A,AMMA,L,U,25,9,2,2011
T02,A,NONE,NA,NA,0,9,2,2011
T03,A,AMMA,L,U,35,9,2,2011
T04,A,NONE,NA,NA,0,9,2,2011
T05,A,RAPI,A,U,3,9,2,2011
T06,A,NONE,NA,NA,0,9,2,2011
T07,A,RAPI,A,U,3,9,2,2011
T08,A,NONE,NA,NA,0,9,2,2011
T09,A,RAPI,A,U,1,9,2,2011
P01,A,NONE,NA,NA,0,9,3,2011
P02,A,RAPI,A,U,6,9,3,2011
P02,A,AMMA,L,U,55,9,3,2011
P03,A,NONE,NA,NA,0,9,3,2011
P04,A,RAPI,A,U,1,9,3,2011
P04,A,AMMA,L,U,1,9,3,2011
P06,A,RAPI,A,U,1,9,3,2011
P06,A,AMMA,L,U,2,9,3,2011
P07,A,RAPI,A,U,1,9,3,2011
P08,A,NONE,NA,NA,0,9,3,2011
P11,A,RAPI,A,U,2,9,3,2011
P11,A,AMMA,L,U,2,9,3,2011
T01,A,AMMA,L,U,32,9,3,2011
T02,A,NONE,NA,NA,0,9,3,2011
T03,A,AMMA,L,U,14,9,3,2011
T04,A,NONE,NA,NA,0,9,3,2011
T06,A,NONE,NA,NA,0,9,3,2011
T07,A,RAPI,A,U,4,9,3,2011
T08,A,NONE,NA,NA,0,9,3,2011
T09,A,NONE,NA,NA,0,9,3,2011
P01,A,RAPI,A,U,1,9,4,2011
P01,A,AMMA,L,U,3,9,4,2011
P02,A,RAPI,A,U,2,9,4,2011
P02,A,AMMA,L,U,86,9,4,2011
P03,A,NONE,NA,NA,0,9,4,2011
P04,A,AMMA,L,U,1,9,4,2011
P06,A,AMMA,L,U,6,9,4,2011
P07,A,RAPI,A,U,3,9,4,2011
P07,A,AMMA,L,U,1,9,4,2011
P08,A,NONE,NA,NA,0,9,4,2011
P11,A,RAPI,A,U,3,9,4,2011
T01,A,RAPI,A,U,1,9,4,2011
T01,A,AMMA,L,U,13,9,4,2011
T02,A,NONE,NA,NA,0,9,4,2011
T03,A,AMMA,L,U,20,9,4,2011
T04,A,NONE,NA,NA,0,9,4,2011
T05,A,RAPI,A,U,5,9,4,2011
T06,A,RAPI,A,U,2,9,4,2011
T07,A,RAPI,A,U,1,9,4,2011
T08,A,NONE,NA,NA,0,9,4,2011
T09,A,NONE,NA,NA,0,9,4,2011
P01,A,AMMA,A,F,1,5,1,2012
P01,A,AMMA,N,F,3,5,1,2012
P02,A,NONE,NA,NA,0,5,1,2012
P03,A,NONE,NA,NA,0,5,1,2012
P04,A,AMMA,N,F,1,5,1,2012
P04,A,AMMA,A,M,1,5,1,2012
P04,A,AMMA,N,M,34,5,1,2012
P06,A,NONE,NA,NA,0,5,1,2012
P07,A,NONE,NA,NA,0,5,1,2012
P08,A,NONE,NA,NA,0,5,1,2012
P11,A,NONE,NA,NA,0,5,1,2012
T01,A,AMMA,N,F,1,5,1,2012
T01,A,AMMA,N,M,8,5,1,2012
T02,A,NONE,NA,NA,0,5,1,2012
T03,A,NONE,NA,NA,0,5,1,2012
T06,A,NONE,NA,NA,0,5,1,2012
T07,A,NONE,NA,NA,0,5,1,2012
T08,A,NONE,NA,NA,0,5,1,2012
T09,A,RAPI,A,U,1,5,1,2012
P01,A,AMMA,N,F,3,5,2,2012
P01,A,AMMA,N,M,15,5,2,2012
P02,A,AMMA,N,F,3,5,2,2012
P03,A,NONE,NA,NA,0,5,2,2012
P04,A,AMMA,N,F,1,5,2,2012
P04,A,AMMA,N,M,19,5,2,2012
P04,A,RAPI,A,U,1,5,2,2012
P06,A,AMMA,N,F,6,5,2,2012
P06,A,AMMA,N,M,4,5,2,2012
P06,A,RAPI,A,U,1,5,2,2012
P07,A,AMMA,N,F,1,5,2,2012
P08,A,NONE,NA,NA,0,5,2,2012
P11,A,AMMA,N,F,1,5,2,2012
T01,A,NONE,NA,NA,0,5,2,2012
T02,A,NONE,NA,NA,0,5,2,2012
T03,A,AMMA,N,F,1,5,2,2012
T06,A,NONE,NA,NA,0,5,2,2012
T07,A,NONE,NA,NA,0,5,2,2012
T08,A,NONE,NA,NA,0,5,2,2012
T09,A,RAPI,A,U,2,5,2,2012
P01,A,AMMA,N,F,8,5,3,2012
P01,A,AMMA,N,M,33,5,3,2012
P02,A,AMMA,N,F,3,5,3,2012
P02,A,AMMA,N,M,28,5,3,2012
P03,A,AMMA,A,F,1,5,3,2012
P04,A,AMMA,N,M,5,5,3,2012
P06,A,AMMA,N,F,1,5,3,2012
P06,A,AMMA,N,M,12,5,3,2012
P07,A,AMMA,A,M,3,5,3,2012
P07,A,AMMA,N,M,19,5,3,2012
P07,A,NONE,NA,NA,0,5,3,2012
P08,A,NONE,NA,NA,0,5,3,2012
P11,A,NONE,NA,NA,0,5,3,2012
T01,A,AMMA,N,F,2,5,3,2012
T01,A,AMMA,N,M,22,5,3,2012
T02,A,NONE,NA,NA,0,5,3,2012
T06,A,RAPI,A,U,1,5,3,2012
T07,A,NONE,NA,NA,0,5,3,2012
T08,A,NONE,NA,NA,0,5,3,2012
T09,A,AMMA,A,F,1,5,3,2012
T09,A,RAPI,A,U,2,5,3,2012
P01,A,AMMA,N,F,8,5,4,2012
P01,A,AMMA,N,M,10,5,4,2012
P01,A,RAPI,A,U,2,5,4,2012
P02,A,AMMA,N,F,2,5,4,2012
P03,A,NONE,NA,NA,0,5,4,2012
P04,A,AMMA,N,M,2,5,4,2012
P06,A,AMMA,N,F,2,5,4,2012
P08,A,NONE,NA,NA,0,5,4,2012
P11,A,NONE,NA,NA,0,5,4,2012
T01,A,AMMA,N,F,2,5,4,2012
T01,A,AMMA,N,M,2,5,4,2012
T02,A,NONE,NA,NA,0,5,4,2012
T03,A,RAPI,A,U,1,5,4,2012
T06,A,RAPI,A,U,1,5,4,2012
T07,A,NONE,NA,NA,0,5,4,2012
T08,A,NONE,NA,NA,0,5,4,2012
T09,A,AMMA,A,M,1,5,4,2012
T09,A,RAPI,A,U,2,5,4,2012
P01,A,AMMA,N,F,13,6,1,2012
P01,A,AMMA,N,M,1,6,1,2012
P02,A,AMMA,N,F,8,6,1,2012
P02,A,AMMA,N,M,4,6,1,2012
P03,A,RAPI,A,U,1,6,1,2012
P04,A,AMMA,N,F,6,6,1,2012
P04,A,AMMA,N,M,2,6,1,2012
P06,A,AMMA,N,F,4,6,1,2012
P06,A,AMMA,N,M,3,6,1,2012
P07,A,AMMA,N,F,1,6,1,2012
P07,A,RAPI,A,U,1,6,1,2012
P08,A,AMMA,A,F,1,6,1,2012
P08,A,RAPI,A,U,1,6,1,2012
P11,A,NONE,NA,NA,0,6,1,2012
T01,A,AMMA,N,F,6,6,1,2012
T01,A,AMMA,N,M,1,6,1,2012
T02,A,NONE,NA,NA,0,6,1,2012
T03,A,AMMA,N,F,2,6,1,2012
T03,A,AMMA,N,M,1,6,1,2012
T03,A,RAPI,A,U,2,6,1,2012
T06,A,RAPI,A,U,1,6,1,2012
T06,A,RASY,A,U,1,6,1,2012
T08,A,FROTAD,L,U,10,6,1,2012
T09,A,AMMA,A,F,1,6,1,2012
T09,A,FROTAD,L,U,265,6,1,2012
P01,A,AMMA,N,F,17,6,2,2012
P01,A,AMMA,N,M,3,6,2,2012
P02,A,AMMA,N,F,5,6,2,2012
P02,A,AMMA,N,M,4,6,2,2012
P03,A,NONE,NA,NA,0,6,2,2012
P04,A,AMMA,N,F,1,6,2,2012
P04,A,AMMA,N,M,1,6,2,2012
P04,A,RAPI,A,U,1,6,2,2012
P06,A,AMMA,A,F,1,6,2,2012
P06,A,AMMA,N,F,2,6,2,2012
P06,A,RAPI,A,U,2,6,2,2012
P07,A,NONE,NA,NA,0,6,2,2012
P08,A,NONE,NA,NA,0,6,2,2012
P11,A,AMMA,N,F,2,6,2,2012
T01,A,AMMA,N,F,4,6,2,2012
T01,A,AMMA,N,M,2,6,2,2012
T02,A,RAPI,A,U,1,6,2,2012
T03,A,AMMA,N,M,1,6,2,2012
T03,A,FROTAD,L,U,1,6,2,2012
T06,A,NONE,NA,NA,0,6,2,2012
T08,A,NONE,NA,NA,0,6,2,2012
T09,A,RAPI,A,U,2,6,2,2012
T09,A,FROTAD,L,U,400,6,2,2012
P01,A,AMMA,N,F,18,6,3,2012
P01,A,AMMA,N,M,3,6,3,2012
P02,A,AMMA,N,M,1,6,3,2012
P03,A,NONE,NA,NA,0,6,3,2012
P04,A,AMMA,N,M,3,6,3,2012
P06,A,AMMA,N,F,5,6,3,2012
P06,A,AMMA,N,M,1,6,3,2012
P06,A,RAPI,A,U,1,6,3,2012
P07,A,RAPI,A,U,1,6,3,2012
P08,A,RAPI,A,U,1,6,3,2012
P11,A,AMMA,N,F,3,6,3,2012
T01,A,AMMA,N,F,11,6,3,2012
T01,A,AMMA,N,M,1,6,3,2012
T02,A,NONE,NA,NA,0,6,3,2012
T03,A,AMMA,N,F,2,6,3,2012
T03,A,RAPI,A,U,1,6,3,2012
T06,A,RASY,A,U,1,6,3,2012
T08,A,FROTAD,L,U,35,6,3,2012
T09,A,AMMA,N,F,1,6,3,2012
T09,A,FROTAD,L,U,190,6,3,2012
P01,A,AMMA,N,F,26,6,4,2012
P01,A,AMMA,N,M,4,6,4,2012
P02,A,AMMA,N,F,3,6,4,2012
P02,A,AMMA,N,M,1,6,4,2012
P03,A,AMMA,N,F,1,6,4,2012
P04,A,AMMA,N,F,4,6,4,2012
P06,A,AMMA,N,F,4,6,4,2012
P06,A,RAPI,A,U,1,6,4,2012
P07,A,NONE,NA,NA,0,6,4,2012
P08,A,NONE,NA,NA,0,6,4,2012
P11,A,AMMA,N,F,2,6,4,2012
T01,A,AMMA,N,F,3,6,4,2012
T01,A,AMMA,N,M,1,6,4,2012
T02,A,NONE,NA,NA,0,6,4,2012
T03,A,AMMA,N,F,7,6,4,2012
T03,A,AMMA,N,M,1,6,4,2012
T06,A,NONE,NA,NA,0,6,4,2012
T08,A,FROTAD,L,U,9,6,4,2012
T09,A,AMMA,N,F,4,6,4,2012
T09,A,FROTAD,L,U,47,6,4,2012
P01,A,AMMA,N,F,5,7,1,2012
P01,A,AMMA,N,M,1,7,1,2012
P02,A,AMMA,N,F,10,7,1,2012
P02,A,AMMA,N,M,4,7,1,2012
P03,A,AMMA,A,F,1,7,1,2012
P04,A,AMMA,N,F,18,7,1,2012
P04,A,AMMA,N,M,5,7,1,2012
P04,A,RAPI,A,U,1,7,1,2012
P06,A,AMMA,N,F,2,7,1,2012
P06,A,AMMA,N,M,2,7,1,2012
P07,A,AMMA,A,F,2,7,1,2012
P07,A,AMMA,N,F,2,7,1,2012
P08,A,AMMA,A,F,1,7,1,2012
P08,A,AMMA,A,M,1,7,1,2012
P08,A,FROTAD,L,U,11,7,1,2012
P11,A,AMMA,N,F,3,7,1,2012
P11,A,FROTAD,L,U,2,7,1,2012
T01,A,NONE,NA,NA,0,7,1,2012
T02,A,NONE,NA,NA,0,7,1,2012
T03,A,AMMA,N,F,3,7,1,2012
T03,A,FROTAD,L,U,4,7,1,2012
T09,A,RAPI,A,U,1,7,1,2012
T09,A,FROTAD,L,U,10,7,1,2012
T09,A,RAPI,YOY,U,13,7,1,2012
P01,A,AMMA,N,F,13,7,2,2012
P01,A,AMMA,N,M,1,7,2,2012
P01,A,AMMA,N,M,8,7,2,2012
P01,A,AMMA,L,U,2,7,2,2012
P02,A,AMMA,N,F,3,7,2,2012
P02,A,AMMA,A,M,1,7,2,2012
P02,A,AMMA,N,M,2,7,2,2012
P03,A,NONE,NA,NA,0,7,2,2012
P04,A,AMMA,N,F,12,7,2,2012
P04,A,AMMA,N,M,2,7,2,2012
P04,A,AMMA,L,U,1,7,2,2012
P06,A,AMMA,N,F,8,7,2,2012
P06,A,AMMA,N,M,3,7,2,2012
P07,A,AMMA,A,F,1,7,2,2012
P07,A,AMMA,N,M,1,7,2,2012
P08,A,AMMA,A,F,1,7,2,2012
P08,A,AMMA,A,M,1,7,2,2012
P11,A,AMMA,N,F,1,7,2,2012
P11,A,AMMA,N,M,2,7,2,2012
P11,A,FROTAD,L,U,1,7,2,2012
T01,A,AMMA,N,F,1,7,2,2012
T01,A,AMMA,N,M,1,7,2,2012
T02,A,NONE,NA,NA,0,7,2,2012
T03,A,AMMA,N,M,1,7,2,2012
T03,A,FROTAD,L,U,2,7,2,2012
T09,A,RAPI,A,U,1,7,2,2012
T09,A,FROTAD,L,U,19,7,2,2012
T09,A,RAPI,YOY,U,4,7,2,2012
P01,A,AMMA,N,F,17,7,3,2012
P01,A,AMMA,N,M,1,7,3,2012
P01,A,AMMA,L,U,1,7,3,2012
P02,A,AMMA,N,F,8,7,3,2012
P02,A,AMMA,N,M,5,7,3,2012
P03,A,AMMA,A,F,1,7,3,2012
P04,A,AMMA,N,F,1,7,3,2012
P04,A,AMMA,N,F,2,7,3,2012
P04,A,AMMA,N,M,1,7,3,2012
P06,A,AMMA,N,F,6,7,3,2012
P06,A,AMMA,N,M,7,7,3,2012
P06,A,AMMA,L,U,1,7,3,2012
P06,A,AMMA,L,U,13,7,3,2012
P07,A,AMMA,N,F,2,7,3,2012
P07,A,AMMA,N,M,2,7,3,2012
P08,A,AMMA,A,F,2,7,3,2012
P11,A,AMMA,N,F,1,7,3,2012
P11,A,AMMA,N,M,1,7,3,2012
P11,A,FROTAD,L,U,1,7,3,2012
T01,A,NONE,NA,NA,0,7,3,2012
T02,A,NONE,NA,NA,0,7,3,2012
T03,A,NONE,NA,NA,0,7,3,2012
T09,A,RAPI,A,U,1,7,3,2012
T09,A,FROTAD,L,U,11,7,3,2012
T09,A,RAPI,YOY,U,23,7,3,2012
P01,A,AMMA,N,F,1,7,4,2012
P01,A,AMMA,N,F,12,7,4,2012
P01,A,AMMA,N,M,4,7,4,2012
P02,A,AMMA,N,F,5,7,4,2012
P02,A,AMMA,N,M,5,7,4,2012
P03,A,RAPI,A,U,1,7,4,2012
P04,A,AMMA,N,F,1,7,4,2012
P04,A,AMMA,N,F,14,7,4,2012
P04,A,AMMA,A,M,1,7,4,2012
P04,A,AMMA,N,M,6,7,4,2012
P06,A,AMMA,N,F,3,7,4,2012
P06,A,AMMA,N,M,1,7,4,2012
P06,A,AMMA,L,U,1,7,4,2012
P07,A,NONE,NA,NA,0,7,4,2012
P08,A,AMMA,A,F,1,7,4,2012
P08,A,RAPI,A,U,1,7,4,2012
P11,A,AMMA,N,F,3,7,4,2012
P11,A,AMMA,N,M,1,7,4,2012
T01,A,NONE,NA,NA,0,7,4,2012
T02,A,NONE,NA,NA,0,7,4,2012
