"park","plot","visit","genus_species","quadrat","occurrence"
"Litchfield","4","T1","Alloteropsis semialata","11",1
"Litchfield","4","T1","Lomandra tropica","11",1
"Litchfield","4","T1","Alloteropsis semialata","12",1
"Litchfield","4","T1","Sorghum timorense","12",10
"Litchfield","4","T1","Lomandra tropica","12",5
"Litchfield","4","T1","Clerodendrum tatei","12",1
"Litchfield","4","T1","Chamaecrista nomame","12",1
"Litchfield","4","T1","Schizachyrium fragile","12",1
"Litchfield","4","T1","Urochloa polyphylla","12",1
"Litchfield","4","T1","Eriachne ciliata","12",1
"Litchfield","4","T1","Urochloa polyphylla","13",1
"Litchfield","4","T1","Chamaecrista nomame","13",1
"Litchfield","4","T1","Clerodendrum tatei","13",1
"Litchfield","4","T1","Alloteropsis semialata","13",1
"Litchfield","4","T1","Arthrostylis aphylla","13",1
"Litchfield","4","T1","Sorghum timorense","13",30
"Litchfield","4","T1","Haemodorum brevicaule","13",1
"Litchfield","4","T1","Arthrostylis aphylla","14",1
"Litchfield","4","T1","Urochloa polyphylla","14",1
"Litchfield","4","T1","Chamaecrista nomame","14",1
"Litchfield","4","T1","Heteropogon triticeus","14",5
"Litchfield","4","T1","Murdannia graminea","14",1
"Litchfield","4","T1","Polygala sp.","14",1
"Litchfield","4","T1","Sorghum timorense","14",15
"Litchfield","4","T1","Spermacoce leptoloba","14",1
"Litchfield","4","T1","Stemona prostrata","14",1
"Litchfield","4","T1","Scleria brownii","15",1
"Litchfield","4","T1","Chamaecrista nomame","15",1
"Litchfield","4","T1","Heteropogon triticeus","15",1
"Litchfield","4","T1","Flemingia parviflora","15",1
"Litchfield","4","T1","Clerodendrum tatei","15",1
"Litchfield","4","T1","Arthrostylis aphylla","15",1
"Litchfield","4","T1","Alloteropsis semialata","15",1
"Litchfield","4","T1","Thaumastochloa major","15",1
"Litchfield","4","T1","Sorghum timorense","15",35
"Litchfield","4","T1","Urochloa polyphylla","16",5
"Litchfield","4","T1","Chamaecrista nomame","16",1
"Litchfield","4","T1","Clerodendrum tatei","16",1
"Litchfield","4","T1","Heteropogon triticeus","16",1
"Litchfield","4","T1","Murdannia graminea","16",1
"Litchfield","4","T1","Polygala sp.","16",1
"Litchfield","4","T1","Sorghum timorense","16",20
"Litchfield","4","T1","Thaumastochloa major","16",1
"Litchfield","4","T1","Marsdenia trinervis","16",1
"Litchfield","4","T1","Alloteropsis semialata","16",1
"Litchfield","4","T1","Heteropogon triticeus","17",5
"Litchfield","4","T1","Helicteres integrifolia subsp. dentata","17",1
"Litchfield","4","T1","Alloteropsis semialata","17",1
"Litchfield","4","T1","Arthrostylis aphylla","17",1
"Litchfield","4","T1","Chamaecrista nomame","17",1
"Litchfield","4","T1","Clerodendrum tatei","17",1
"Litchfield","4","T1","Sorghum timorense","17",25
"Litchfield","4","T1","Scleria brownii","17",1
"Litchfield","4","T1","Murdannia graminea","17",1
"Litchfield","4","T1","Marsdenia trinervis","18",1
"Litchfield","4","T1","Alloteropsis semialata","18",1
"Litchfield","4","T1","Urochloa polyphylla","18",1
"Litchfield","4","T1","Chamaecrista nomame","18",1
"Litchfield","4","T1","Murdannia graminea","18",1
"Litchfield","4","T1","Thaumastochloa major","18",1
"Litchfield","4","T1","Sorghum timorense","18",20
"Litchfield","4","T1","Vigna lanceolata","19",1
"Litchfield","4","T1","Uraria sp. Litchfield","19",1
"Litchfield","4","T1","Marsdenia trinervis","19",1
"Litchfield","4","T1","Urochloa polyphylla","19",1
"Litchfield","4","T1","Stemona prostrata","19",1
"Litchfield","4","T1","Desmodium pycnotrichum","19",1
"Litchfield","4","T1","Sorghum timorense","19",35
"Litchfield","4","T1","Scleria brownii","19",1
"Litchfield","4","T1","Murdannia graminea","19",1
"Litchfield","4","T1","Hibbertia tasmanica","19",1
"Litchfield","4","T1","Heteropogon triticeus","19",5
"Litchfield","4","T1","Chamaecrista nomame","19",1
"Litchfield","4","T1","Helicteres integrifolia subsp. dentata","20",5
"Litchfield","4","T1","Sorghum timorense","20",40
"Litchfield","4","T1","Haemodorum brevicaule","20",1
"Litchfield","4","T1","Clerodendrum tatei","20",1
"Litchfield","4","T1","Chamaecrista nomame","20",1
"Litchfield","4","T1","Urochloa polyphylla","20",1
"Litchfield","4","T1","Alloteropsis semialata","20",1
"Litchfield","4","T1","Scleria brownii","20",1
"Litchfield","4","T1","Heteropogon triticeus","21",5
"Litchfield","4","T1","Clerodendrum tatei","21",1
"Litchfield","4","T1","Chamaecrista nomame","21",1
"Litchfield","4","T1","Arthrostylis aphylla","21",1
"Litchfield","4","T1","Thaumastochloa major","21",1
"Litchfield","4","T1","Urochloa polyphylla","21",1
"Litchfield","4","T1","Murdannia graminea","21",1
"Litchfield","4","T1","Hibbertia tasmanica","21",5
"Litchfield","4","T1","Vigna lanceolata","21",1
"Litchfield","4","T1","Sorghum timorense","21",20
"Litchfield","4","T1","Alloteropsis semialata","22",5
"Litchfield","4","T1","Uraria sp. Litchfield","22",1
"Litchfield","4","T1","Clerodendrum tatei","22",1
"Litchfield","4","T1","Chamaecrista nomame","22",1
"Litchfield","4","T1","Urochloa polyphylla","22",1
"Litchfield","4","T1","Thaumastochloa major","22",1
"Litchfield","4","T1","Larsenaikia suffruticosa","22",5
"Litchfield","4","T1","Haemodorum brevicaule","22",1
"Litchfield","4","T1","Sorghum timorense","22",20
"Litchfield","4","T1","Spermacoce leptoloba","22",1
"Litchfield","4","T1","Vigna lanceolata","22",1
"Litchfield","4","T1","Murdannia graminea","22",1
"Litchfield","4","T1","Heteropogon triticeus","22",5
"Litchfield","4","T1","Chamaecrista nomame","23",1
"Litchfield","4","T1","Urochloa polyphylla","23",1
"Litchfield","4","T1","Clerodendrum tatei","23",1
"Litchfield","4","T1","Trachymene sp.","23",1
"Litchfield","4","T1","Thaumastochloa major","23",1
"Litchfield","4","T1","Larsenaikia suffruticosa","23",1
"Litchfield","4","T1","Vigna lanceolata","23",1
"Litchfield","4","T1","Ipomoea gracilis","23",1
"Litchfield","4","T1","Polygala sp.","23",1
"Litchfield","4","T1","Scleria brownii","23",1
"Litchfield","4","T1","Sorghum timorense","23",15
"Litchfield","4","T1","Spermacoce leptoloba","23",5
"Litchfield","4","T1","Crotalaria montana","23",1
"Litchfield","4","T1","Alloteropsis semialata","23",1
"Litchfield","4","T1","Uraria sp. Litchfield","24",10
"Litchfield","4","T1","Trachymene sp.","24",1
"Litchfield","4","T1","Arthrostylis aphylla","24",1
"Litchfield","4","T1","Vigna lanceolata","24",1
"Litchfield","4","T1","Alloteropsis semialata","24",10
"Litchfield","4","T1","Urochloa polyphylla","24",1
"Litchfield","4","T1","Clerodendrum tatei","24",1
"Litchfield","4","T1","Crotalaria montana","24",1
"Litchfield","4","T1","Haemodorum brevicaule","24",1
"Litchfield","4","T1","Heliotropium ventricosum","24",1
"Litchfield","4","T1","Heteropogon triticeus","24",1
"Litchfield","4","T1","Hibbertia tasmanica","24",1
"Litchfield","4","T1","Murdannia graminea","24",1
"Litchfield","4","T1","Sorghum timorense","24",20
"Litchfield","4","T1","Spermacoce leptoloba","24",1
"Litchfield","4","T1","Chamaecrista nomame","25",1
"Litchfield","4","T1","Alloteropsis semialata","25",5
"Litchfield","4","T1","Arthrostylis aphylla","25",1
"Litchfield","4","T1","Vigna lanceolata","25",1
"Litchfield","4","T1","Urochloa polyphylla","25",1
"Litchfield","4","T1","Thaumastochloa major","25",1
"Litchfield","4","T1","Hibbertia tasmanica","25",1
"Litchfield","4","T1","Haemodorum brevicaule","25",1
"Litchfield","4","T1","Murdannia graminea","25",1
"Litchfield","4","T1","Polygala sp.","25",1
"Litchfield","4","T1","Sorghum timorense","25",30
"Litchfield","4","T1","Spermacoce leptoloba","25",1
"Litchfield","4","T1","Stemona prostrata","25",1
"Litchfield","4","T1","Clerodendrum tatei","26",1
"Litchfield","4","T1","Vigna lanceolata","26",1
"Litchfield","4","T1","Uraria sp. Litchfield","26",1
"Litchfield","4","T1","Arthrostylis aphylla","26",1
"Litchfield","4","T1","Urochloa polyphylla","26",1
"Litchfield","4","T1","Chamaecrista nomame","26",1
"Litchfield","4","T1","Thaumastochloa major","26",1
"Litchfield","4","T1","Spermacoce leptoloba","26",1
"Litchfield","4","T1","Sorghum timorense","26",25
"Litchfield","4","T1","Alloteropsis semialata","26",1
"Litchfield","4","T1","Clerodendrum tatei","27",1
"Litchfield","4","T1","Uraria sp. Litchfield","27",1
"Litchfield","4","T1","Xyris complanata","27",25
"Litchfield","4","T1","Arthrostylis aphylla","27",1
"Litchfield","4","T1","Alloteropsis semialata","27",1
"Litchfield","4","T1","Urochloa polyphylla","27",1
"Litchfield","4","T1","Haemodorum brevicaule","27",1
"Litchfield","4","T1","Chamaecrista nomame","27",1
"Litchfield","4","T1","Marsdenia trinervis","27",1
"Litchfield","4","T1","Crotalaria montana","27",1
"Litchfield","4","T1","Heliotropium ventricosum","27",1
"Litchfield","4","T1","Polygala sp.","27",1
"Litchfield","4","T1","Scleria brownii","27",1
"Litchfield","4","T1","Sorghum timorense","27",20
"Litchfield","4","T1","Arthrostylis aphylla","28",1
"Litchfield","4","T1","Alloteropsis semialata","28",1
"Litchfield","4","T1","Marsdenia trinervis","28",10
"Litchfield","4","T1","Urochloa polyphylla","28",1
"Litchfield","4","T1","Chamaecrista nomame","28",1
"Litchfield","4","T1","Clerodendrum tatei","28",1
"Litchfield","4","T1","Heliotropium ventricosum","28",1
"Litchfield","4","T1","Haemodorum brevicaule","28",1
"Litchfield","4","T1","Scleria brownii","28",1
"Litchfield","4","T1","Sorghum timorense","28",20
"Litchfield","4","T1","Spermacoce leptoloba","28",1
"Litchfield","4","T1","Eriachne ciliata","29",1
"Litchfield","4","T1","Thaumastochloa major","29",1
"Litchfield","4","T1","Spermacoce leptoloba","29",1
"Litchfield","4","T1","Sorghum timorense","29",20
"Litchfield","4","T1","Lomandra tropica","29",1
"Litchfield","4","T1","Ipomoea gracilis","29",1
"Litchfield","4","T1","Haemodorum brevicaule","29",1
"Litchfield","4","T1","Arthrostylis aphylla","29",1
"Litchfield","4","T1","Alloteropsis semialata","29",1
"Litchfield","4","T1","Hibbertia tasmanica","29",1
"Litchfield","4","T1","Haemodorum brevicaule","30",1
"Litchfield","4","T1","Arthrostylis aphylla","30",1
"Litchfield","4","T1","Urochloa polyphylla","30",1
"Litchfield","4","T1","Hibbertia tasmanica","30",1
"Litchfield","4","T1","Murdannia graminea","30",1
"Litchfield","4","T1","Polygala sp.","30",1
"Litchfield","4","T1","Sauropus glaucus","30",1
"Litchfield","4","T1","Sorghum timorense","30",20
"Litchfield","4","T1","Clerodendrum tatei","30",1
"Litchfield","4","T1","Eriachne ciliata","31",1
"Litchfield","4","T1","Alloteropsis semialata","31",1
"Litchfield","4","T1","Arthrostylis aphylla","31",1
"Litchfield","4","T1","Urochloa polyphylla","31",1
"Litchfield","4","T1","Sorghum timorense","31",25
"Litchfield","4","T1","Thaumastochloa major","31",1
"Litchfield","4","T1","Trachymene sp.","31",1
"Litchfield","4","T1","Scleria brownii","31",1
"Litchfield","4","T1","Polygala sp.","31",1
"Litchfield","4","T1","Urochloa polyphylla","32",1
"Litchfield","4","T1","Arthrostylis aphylla","32",1
"Litchfield","4","T1","Eriachne ciliata","32",5
"Litchfield","4","T1","Clerodendrum tatei","32",1
"Litchfield","4","T1","Haemodorum brevicaule","32",1
"Litchfield","4","T1","Sorghum timorense","32",10
"Litchfield","4","T1","Clerodendrum tatei","33",1
"Litchfield","4","T1","Lomandra tropica","33",1
"Litchfield","4","T1","Eriachne ciliata","33",1
"Litchfield","4","T1","Sorghum timorense","33",15
"Litchfield","4","T1","Tricoryne elatior","33",1
"Litchfield","4","T1","Arthrostylis aphylla","33",1
"Litchfield","4","T1","Sorghum timorense","34",25
"Litchfield","4","T1","Euphorbia muelleri","34",1
"Litchfield","4","T1","Eriachne ciliata","34",1
"Litchfield","4","T1","Drosera petiolaris","34",1
"Litchfield","4","T1","Clerodendrum tatei","34",1
"Litchfield","4","T1","Urochloa polyphylla","34",1
"Litchfield","4","T1","Arthrostylis aphylla","34",1
"Litchfield","4","T1","Alloteropsis semialata","34",1
"Litchfield","4","T1","Alloteropsis semialata","35",1
"Litchfield","4","T1","Drosera petiolaris","35",1
"Litchfield","4","T1","Hibbertia tasmanica","35",1
"Litchfield","4","T1","Xyris complanata","35",10
"Litchfield","4","T1","Sorghum timorense","35",10
"Litchfield","4","T1","Patersonia macrantha","35",5
"Litchfield","4","T1","Tricoryne elatior","35",1
"Litchfield","4","T1","Ipomoea gracilis","35",1
"Litchfield","4","T1","Spermacoce leptoloba","36",1
"Litchfield","4","T1","Xyris complanata","36",15
"Litchfield","4","T1","Scleria brownii","36",1
"Litchfield","4","T1","Helicteres integrifolia subsp. dentata","36",20
"Litchfield","4","T1","Eriachne ciliata","36",5
"Litchfield","4","T1","Urochloa polyphylla","36",1
"Litchfield","4","T1","Arthrostylis aphylla","36",1
"Litchfield","4","T1","Alloteropsis semialata","36",1
"Litchfield","4","T1","Xyris complanata","37",1
"Litchfield","4","T1","Spermacoce leptoloba","37",1
"Litchfield","4","T1","Sorghum timorense","37",10
"Litchfield","4","T1","Heteropogon triticeus","37",1
"Litchfield","4","T1","Trachymene sp.","37",1
"Litchfield","4","T1","Arthrostylis aphylla","37",1
"Litchfield","4","T1","Urochloa polyphylla","37",1
"Litchfield","4","T1","Clerodendrum tatei","37",1
"Litchfield","4","T1","Drosera petiolaris","37",1
"Litchfield","4","T1","Eriachne ciliata","37",5
"Litchfield","4","T1","Helicteres integrifolia subsp. dentata","37",5
"Litchfield","4","T1","Sauropus paucifolius","38",1
"Litchfield","4","T1","Heteropogon triticeus","38",1
"Litchfield","4","T1","Hibbertia tasmanica","38",1
"Litchfield","4","T1","Urochloa polyphylla","38",1
"Litchfield","4","T1","Scleria brownii","38",1
"Litchfield","4","T1","Sorghum timorense","38",25
"Litchfield","4","T1","Spermacoce leptoloba","38",1
"Litchfield","4","T1","Thaumastochloa major","38",1
"Litchfield","4","T1","Trachymene sp.","38",1
"Litchfield","4","T1","Xyris complanata","38",5
"Litchfield","4","T1","Haemodorum brevicaule","38",1
"Litchfield","4","T1","Eriachne ciliata","38",5
"Litchfield","4","T1","Arthrostylis aphylla","38",1
"Litchfield","4","T1","Uraria sp. Litchfield","39",1
"Litchfield","4","T1","Sorghum timorense","39",5
"Litchfield","4","T1","Thaumastochloa major","39",1
"Litchfield","4","T1","Spermacoce leptoloba","39",1
"Litchfield","4","T1","Alloteropsis semialata","39",1
"Litchfield","4","T1","Arthrostylis aphylla","39",1
"Litchfield","4","T1","Urochloa polyphylla","39",1
"Litchfield","4","T1","Clerodendrum tatei","39",1
"Litchfield","4","T1","Haemodorum brevicaule","39",1
"Litchfield","4","T1","Murdannia graminea","39",1
"Litchfield","4","T1","Eriachne ciliata","39",1
"Litchfield","4","T1","Spermacoce leptoloba","40",1
"Litchfield","4","T1","Heteropogon triticeus","40",5
"Litchfield","4","T1","Flemingia parviflora","40",10
"Litchfield","4","T1","Eriosema chinense","40",1
"Litchfield","4","T1","Eriachne ciliata","40",1
"Litchfield","4","T1","Urochloa polyphylla","40",1
"Litchfield","4","T1","Arthrostylis aphylla","40",1
"Litchfield","4","T1","Alloteropsis semialata","40",1
"Litchfield","4","T2","Arthrostylis aphylla","1",1
"Litchfield","4","T2","Sorghum timorense","1",20
"Litchfield","4","T2","Alloteropsis semialata","1",5
"Litchfield","4","T2","Alloteropsis semialata","2",30
"Litchfield","4","T2","Arthrostylis aphylla","2",1
"Litchfield","4","T2","Sorghum timorense","2",5
"Litchfield","4","T2","Drosera petiolaris","2",5
"Litchfield","4","T2","Urochloa polyphylla","2",1
"Litchfield","4","T2","Spermacoce leptoloba","2",1
"Litchfield","4","T2","Ipomoea graminea","2",1
"Litchfield","4","T2","Lomandra tropica","2",1
"Litchfield","4","T2","Chamaecrista nomame","3",1
"Litchfield","4","T2","Sorghum timorense","3",5
"Litchfield","4","T2","Glycine hirticaulis","3",1
"Litchfield","4","T2","Goodenia armstrongiana","3",2
"Litchfield","4","T2","Urochloa polyphylla","3",1
"Litchfield","4","T2","Arthrostylis aphylla","3",1
"Litchfield","4","T2","Alloteropsis semialata","3",15
"Litchfield","4","T2","Hibbertia tasmanica","3",2
"Litchfield","4","T2","Clerodendrum tatei","4",1
"Litchfield","4","T2","Alloteropsis semialata","4",20
"Litchfield","4","T2","Spermacoce leptoloba","4",1
"Litchfield","4","T2","Thaumastochloa major","4",5
"Litchfield","4","T2","Flemingia parviflora","4",5
"Litchfield","4","T2","Murdannia graminea","4",2
"Litchfield","4","T2","Sorghum timorense","4",5
"Litchfield","4","T2","Chamaecrista nomame","4",1
"Litchfield","4","T2","Arthrostylis aphylla","4",1
"Litchfield","4","T2","Thaumastochloa major","5",1
"Litchfield","4","T2","Alloteropsis semialata","5",15
"Litchfield","4","T2","Arthrostylis aphylla","5",1
"Litchfield","4","T2","Spermacoce leptoloba","5",15
"Litchfield","4","T2","Sorghum timorense","5",3
"Litchfield","4","T2","Sorghum timorense","6",5
"Litchfield","4","T2","Clerodendrum tatei","6",1
"Litchfield","4","T2","Thaumastochloa major","6",5
"Litchfield","4","T2","Hibbertia tasmanica","6",10
"Litchfield","4","T2","Alloteropsis semialata","6",15
"Litchfield","4","T2","Corynotheca lateriflora","6",1
"Litchfield","4","T2","Urochloa polyphylla","6",1
"Litchfield","4","T2","Glycine hirticaulis","6",1
"Litchfield","4","T2","Spermacoce leptoloba","6",1
"Litchfield","4","T2","Sorghum timorense","7",3
"Litchfield","4","T2","Alloteropsis semialata","7",15
"Litchfield","4","T2","Arthrostylis aphylla","7",2
"Litchfield","4","T2","Drosera petiolaris","7",5
"Litchfield","4","T2","Corynotheca lateriflora","7",1
"Litchfield","4","T2","Alloteropsis semialata","8",5
"Litchfield","4","T2","Arthrostylis aphylla","8",5
"Litchfield","4","T2","Sorghum timorense","8",2
"Litchfield","4","T2","Marsdenia trinervis","8",1
"Litchfield","4","T2","Eriachne ciliata","8",5
"Litchfield","4","T2","Urochloa polyphylla","9",1
"Litchfield","4","T2","Alloteropsis semialata","9",10
"Litchfield","4","T2","Clerodendrum tatei","9",1
"Litchfield","4","T2","Corynotheca lateriflora","9",1
"Litchfield","4","T2","Eriachne ciliata","9",1
"Litchfield","4","T2","Sorghum timorense","9",3
"Litchfield","4","T2","Hibbertia tasmanica","9",1
"Litchfield","4","T2","Arthrostylis aphylla","9",1
"Litchfield","4","T2","Spermacoce leptoloba","10",1
"Litchfield","4","T2","Lomandra tropica","10",1
"Litchfield","4","T2","Sorghum timorense","10",10
"Litchfield","4","T2","Alloteropsis semialata","10",10
"Litchfield","4","T2","Clerodendrum tatei","11",1
"Litchfield","4","T2","Sorghum timorense","11",5
"Litchfield","4","T2","Goodenia armstrongiana","11",5
"Litchfield","4","T2","Alloteropsis semialata","11",15
"Litchfield","4","T2","Arthrostylis aphylla","11",1
"Litchfield","4","T2","Chamaecrista nomame","11",1
"Litchfield","4","T2","Haemodorum brevicaule","12",1
"Litchfield","4","T2","Lomandra tropica","12",5
"Litchfield","4","T2","Thaumastochloa major","12",1
"Litchfield","4","T2","Sorghum timorense","12",5
"Litchfield","4","T2","Alloteropsis semialata","12",10
"Litchfield","4","T2","Goodenia armstrongiana","12",1
"Litchfield","4","T2","Urochloa polyphylla","12",1
"Litchfield","4","T2","Arthrostylis aphylla","12",1
"Litchfield","4","T2","Clerodendrum tatei","12",1
"Litchfield","4","T2","Chamaecrista nomame","13",1
"Litchfield","4","T2","Alloteropsis semialata","13",5
"Litchfield","4","T2","Corynotheca lateriflora","13",1
"Litchfield","4","T2","Goodenia armstrongiana","13",1
"Litchfield","4","T2","Heteropogon triticeus","13",10
"Litchfield","4","T2","Murdannia graminea","13",1
"Litchfield","4","T2","Clerodendrum tatei","13",1
"Litchfield","4","T2","Crotalaria montana","13",1
"Litchfield","4","T2","Sorghum timorense","14",3
"Litchfield","4","T2","Murdannia graminea","14",1
"Litchfield","4","T2","Helicteres integrifolia subsp. dentata","14",1
"Litchfield","4","T2","Alloteropsis semialata","14",2
"Litchfield","4","T2","Heteropogon triticeus","14",1
"Litchfield","4","T2","Arthrostylis aphylla","14",1
"Litchfield","4","T2","Stemona prostrata","14",1
"Litchfield","4","T2","Arthrostylis aphylla","15",1
"Litchfield","4","T2","Sorghum timorense","15",10
"Litchfield","4","T2","Scleria brownii","15",1
"Litchfield","4","T2","Heteropogon triticeus","15",15
"Litchfield","4","T2","Flemingia parviflora","15",5
"Litchfield","4","T2","Clerodendrum tatei","15",1
"Litchfield","4","T2","Thaumastochloa major","15",1
"Litchfield","4","T2","Marsdenia trinervis","16",2
"Litchfield","4","T2","Clerodendrum tatei","16",1
"Litchfield","4","T2","Chamaecrista nomame","16",1
"Litchfield","4","T2","Alloteropsis semialata","16",5
"Litchfield","4","T2","Flemingia parviflora","16",5
"Litchfield","4","T2","Murdannia graminea","16",1
"Litchfield","4","T2","Sorghum timorense","16",5
"Litchfield","4","T2","Heteropogon triticeus","16",1
"Litchfield","4","T2","Clerodendrum tatei","17",1
"Litchfield","4","T2","Heteropogon triticeus","17",15
"Litchfield","4","T2","Stemona prostrata","17",1
"Litchfield","4","T2","Arthrostylis aphylla","17",1
"Litchfield","4","T2","Spermacoce leptoloba","17",1
"Litchfield","4","T2","Sorghum timorense","17",3
"Litchfield","4","T2","Murdannia graminea","17",1
"Litchfield","4","T2","Helicteres integrifolia subsp. dentata","17",1
"Litchfield","4","T2","Arthrostylis aphylla","18",1
"Litchfield","4","T2","Heteropogon triticeus","18",15
"Litchfield","4","T2","Vigna lanceolata","18",1
"Litchfield","4","T2","Clerodendrum tatei","18",1
"Litchfield","4","T2","Murdannia graminea","18",1
"Litchfield","4","T2","Alloteropsis semialata","18",5
"Litchfield","4","T2","Heteropogon triticeus","19",35
"Litchfield","4","T2","Marsdenia trinervis","19",5
"Litchfield","4","T2","Stemona prostrata","19",1
"Litchfield","4","T2","Alloteropsis semialata","19",15
"Litchfield","4","T2","Murdannia graminea","19",1
"Litchfield","4","T2","Clerodendrum tatei","19",1
"Litchfield","4","T2","Urochloa polyphylla","19",1
"Litchfield","4","T2","Vigna lanceolata","19",2
"Litchfield","4","T2","Hibbertia tasmanica","19",1
"Litchfield","4","T2","Xyris complanata","20",5
"Litchfield","4","T2","Heteropogon triticeus","20",1
"Litchfield","4","T2","Murdannia graminea","20",1
"Litchfield","4","T2","Clerodendrum tatei","20",1
"Litchfield","4","T2","Arthrostylis aphylla","20",1
"Litchfield","4","T2","Alloteropsis semialata","20",15
"Litchfield","4","T2","Helicteres integrifolia subsp. dentata","20",10
"Litchfield","4","T2","Vigna lanceolata","20",1
"Litchfield","4","T2","Haemodorum brevicaule","20",1
"Litchfield","4","T2","Arthrostylis aphylla","21",1
"Litchfield","4","T2","Urochloa polyphylla","21",1
"Litchfield","4","T2","Heteropogon triticeus","21",20
"Litchfield","4","T2","Spermacoce leptoloba","21",1
"Litchfield","4","T2","Thaumastochloa major","21",1
"Litchfield","4","T2","Alloteropsis semialata","21",1
"Litchfield","4","T2","Clerodendrum tatei","21",1
"Litchfield","4","T2","Hibbertia tasmanica","21",1
"Litchfield","4","T2","Sorghum timorense","21",2
"Litchfield","4","T2","Murdannia graminea","22",1
"Litchfield","4","T2","Haemodorum brevicaule","22",1
"Litchfield","4","T2","Spermacoce leptoloba","22",1
"Litchfield","4","T2","Alloteropsis semialata","22",5
"Litchfield","4","T2","Flemingia parviflora","22",1
"Litchfield","4","T2","Thaumastochloa major","22",5
"Litchfield","4","T2","Clerodendrum tatei","22",1
"Litchfield","4","T2","Heteropogon triticeus","22",5
"Litchfield","4","T2","Scleria brownii","23",1
"Litchfield","4","T2","Larsenaikia suffruticosa","23",1
"Litchfield","4","T2","Spermacoce leptoloba","23",1
"Litchfield","4","T2","Vigna lanceolata","23",1
"Litchfield","4","T2","Trachymene sp.","23",1
"Litchfield","4","T2","Thaumastochloa major","23",1
"Litchfield","4","T2","Heteropogon triticeus","23",1
"Litchfield","4","T2","Clerodendrum tatei","23",1
"Litchfield","4","T2","Urochloa polyphylla","23",1
"Litchfield","4","T2","Alloteropsis semialata","23",10
"Litchfield","4","T2","Scleria brownii","24",2
"Litchfield","4","T2","Alloteropsis semialata","24",5
"Litchfield","4","T2","Stemona prostrata","24",2
"Litchfield","4","T2","Murdannia graminea","24",2
"Litchfield","4","T2","Trachymene sp.","24",1
"Litchfield","4","T2","Arthrostylis aphylla","24",1
"Litchfield","4","T2","Clerodendrum tatei","24",2
"Litchfield","4","T2","Heteropogon triticeus","24",10
"Litchfield","4","T2","Uraria sp. Litchfield","24",5
"Litchfield","4","T2","Urochloa polyphylla","24",1
"Litchfield","4","T2","Haemodorum brevicaule","24",1
"Litchfield","4","T2","Sorghum timorense","24",2
"Litchfield","4","T2","Hibbertia tasmanica","24",1
"Litchfield","4","T2","Murdannia graminea","25",1
"Litchfield","4","T2","Xyris complanata","25",1
"Litchfield","4","T2","Arthrostylis aphylla","25",1
"Litchfield","4","T2","Hibbertia tasmanica","25",1
"Litchfield","4","T2","Haemodorum brevicaule","25",1
"Litchfield","4","T2","Alloteropsis semialata","25",20
"Litchfield","4","T2","Trachymene sp.","25",1
"Litchfield","4","T2","Vigna lanceolata","25",1
"Litchfield","4","T2","Stemona prostrata","25",1
"Litchfield","4","T2","Sorghum timorense","25",1
"Litchfield","4","T2","Clerodendrum tatei","25",5
"Litchfield","4","T2","Chamaecrista nomame","25",1
"Litchfield","4","T2","Clerodendrum tatei","26",1
"Litchfield","4","T2","Hibbertia brevipedunculata","26",2
"Litchfield","4","T2","Alloteropsis semialata","26",20
"Litchfield","4","T2","Chamaecrista nomame","26",1
"Litchfield","4","T2","Heteropogon triticeus","26",10
"Litchfield","4","T2","Murdannia graminea","26",1
"Litchfield","4","T2","Sorghum timorense","26",5
"Litchfield","4","T2","Spermacoce leptoloba","26",1
"Litchfield","4","T2","Flemingia parviflora","26",15
"Litchfield","4","T2","Vigna lanceolata","26",1
"Litchfield","4","T2","Sorghum timorense","27",10
"Litchfield","4","T2","Marsdenia trinervis","27",10
"Litchfield","4","T2","Alloteropsis semialata","27",1
"Litchfield","4","T2","Spermacoce leptoloba","27",1
"Litchfield","4","T2","Vigna lanceolata","27",1
"Litchfield","4","T2","Xyris complanata","27",10
"Litchfield","4","T2","Crotalaria montana","27",1
"Litchfield","4","T2","Arthrostylis aphylla","27",1
"Litchfield","4","T2","Clerodendrum tatei","28",1
"Litchfield","4","T2","Alloteropsis semialata","28",10
"Litchfield","4","T2","Drosera petiolaris","28",1
"Litchfield","4","T2","Trachymene sp.","28",1
"Litchfield","4","T2","Marsdenia trinervis","28",15
"Litchfield","4","T2","Arthrostylis aphylla","28",1
"Litchfield","4","T2","Sorghum timorense","28",1
"Litchfield","4","T2","Heliotropium ventricosum","28",1
"Litchfield","4","T2","Heteropogon triticeus","28",10
"Litchfield","4","T2","Haemodorum brevicaule","29",1
"Litchfield","4","T2","Hibbertia tasmanica","29",5
"Litchfield","4","T2","Sorghum timorense","29",20
"Litchfield","4","T2","Trachymene sp.","29",1
"Litchfield","4","T2","Heteropogon triticeus","29",1
"Litchfield","4","T2","Goodenia armstrongiana","29",2
"Litchfield","4","T2","Urochloa polyphylla","29",1
"Litchfield","4","T2","Alloteropsis semialata","29",5
"Litchfield","4","T2","Arthrostylis aphylla","29",1
"Litchfield","4","T2","Arthrostylis aphylla","30",5
"Litchfield","4","T2","Clerodendrum tatei","30",1
"Litchfield","4","T2","Sorghum timorense","30",5
"Litchfield","4","T2","Trachymene sp.","30",1
"Litchfield","4","T2","Urochloa polyphylla","30",1
"Litchfield","4","T2","Drosera petiolaris","30",1
