"park","plot","visit","quadrat","percentage_cover","percentage_litter","percentage_rock","canopy_closure_index"
"Nitmiluk","11","T5","30",40,30,30,"1"
"Nitmiluk","11","T5","31",55,20,25,"0"
"Nitmiluk","11","T5","32",30,10,50,"1"
"Nitmiluk","11","T5","33",40,30,30,"1"
"Nitmiluk","11","T5","34",60,10,30,"1"
"Nitmiluk","11","T5","35",30,10,60,"0"
"Nitmiluk","11","T5","36",40,5,55,"0"
"Nitmiluk","11","T5","37",45,10,45,"0"
"Nitmiluk","11","T5","38",10,10,60,"0"
"Nitmiluk","11","T5","39",25,15,60,"0"
"Nitmiluk","11","T5","40",25,15,60,"0"
"Nitmiluk","12","T1","1",30,5,0,"0"
"Nitmiluk","12","T1","2",70,30,0,"0"
"Nitmiluk","12","T1","3",100,10,0,"0"
"Nitmiluk","12","T1","4",70,10,0,"1"
"Nitmiluk","12","T1","5",75,5,0,"1"
"Nitmiluk","12","T1","6",80,5,0,"0"
"Nitmiluk","12","T1","7",85,5,0,"0"
"Nitmiluk","12","T1","8",80,15,0,"1"
"Nitmiluk","12","T1","9",85,5,0,"0"
"Nitmiluk","12","T1","10",80,1,0,"0"
"Nitmiluk","12","T1","11",90,10,0,"0"
"Nitmiluk","12","T1","12",85,25,0,"0"
"Nitmiluk","12","T1","13",55,5,0,"0"
"Nitmiluk","12","T1","14",65,5,0,"0"
"Nitmiluk","12","T1","15",75,5,0,"1"
"Nitmiluk","12","T1","16",85,5,0,"1"
"Nitmiluk","12","T1","17",90,30,0,"1"
"Nitmiluk","12","T1","18",85,5,0,"1"
"Nitmiluk","12","T1","19",85,15,0,"1"
"Nitmiluk","12","T1","20",75,5,0,"1"
"Nitmiluk","12","T1","21",70,0,0,"0"
"Nitmiluk","12","T1","22",65,5,0,"1"
"Nitmiluk","12","T1","23",50,0,0,"1"
"Nitmiluk","12","T1","24",40,0,0,"0"
"Nitmiluk","12","T1","25",85,5,0,"0"
"Nitmiluk","12","T1","26",100,10,0,"0"
"Nitmiluk","12","T1","27",95,5,0,"0"
"Nitmiluk","12","T1","28",80,0,0,"0"
"Nitmiluk","12","T1","29",95,15,0,"1"
"Nitmiluk","12","T1","30",70,0,0,"1"
"Nitmiluk","12","T1","31",75,5,0,"0"
"Nitmiluk","12","T1","32",80,0,0,"0"
"Nitmiluk","12","T1","33",40,0,0,"0"
"Nitmiluk","12","T1","34",100,0,0,"1"
"Nitmiluk","12","T1","35",70,0,0,"1"
"Nitmiluk","12","T1","36",70,0,0,"1"
"Nitmiluk","12","T1","37",50,0,0,"0"
"Nitmiluk","12","T1","38",20,10,0,"0"
"Nitmiluk","12","T1","39",40,20,0,"0"
"Nitmiluk","12","T1","40",50,10,0,"0"
"Nitmiluk","12","T2","1",NA,5,0,"0"
"Nitmiluk","12","T2","2",NA,30,0,"0"
"Nitmiluk","12","T2","3",NA,20,0,"0"
"Nitmiluk","12","T2","4",NA,25,0,"1"
"Nitmiluk","12","T2","5",NA,15,0,"1"
"Nitmiluk","12","T2","6",NA,15,0,"1"
"Nitmiluk","12","T2","7",NA,20,0,"1"
"Nitmiluk","12","T2","8",NA,10,0,"1"
"Nitmiluk","12","T2","9",NA,20,0,"1"
"Nitmiluk","12","T2","10",NA,10,0,"0"
"Nitmiluk","12","T2","11",NA,15,0,"0"
"Nitmiluk","12","T2","12",NA,30,0,"0"
"Nitmiluk","12","T2","13",NA,25,0,"0"
"Nitmiluk","12","T2","14",NA,15,0,"0"
"Nitmiluk","12","T2","15",NA,10,0,"1"
"Nitmiluk","12","T2","16",NA,2,0,"1"
"Nitmiluk","12","T2","17",NA,10,0,"1"
"Nitmiluk","12","T2","18",NA,20,0,"1"
"Nitmiluk","12","T2","19",NA,20,0,"1"
"Nitmiluk","12","T2","20",NA,25,0,"1"
"Nitmiluk","12","T2","21",NA,10,0,"0"
"Nitmiluk","12","T2","22",NA,10,0,"1"
"Nitmiluk","12","T2","23",NA,2,0,"1"
"Nitmiluk","12","T2","24",NA,20,0,"0"
"Nitmiluk","12","T2","25",NA,30,0,"0"
"Nitmiluk","12","T2","26",NA,10,0,"0"
"Nitmiluk","12","T2","27",NA,25,0,"0"
"Nitmiluk","12","T2","28",NA,10,0,"0"
"Nitmiluk","12","T2","29",NA,20,0,"1"
"Nitmiluk","12","T2","30",NA,10,0,"1"
"Nitmiluk","12","T2","31",NA,5,0,"1"
"Nitmiluk","12","T2","32",NA,2,0,"1"
"Nitmiluk","12","T2","33",NA,10,0,"0"
"Nitmiluk","12","T2","34",NA,5,0,"1"
"Nitmiluk","12","T2","35",NA,15,0,"1"
"Nitmiluk","12","T2","36",NA,5,0,"1"
"Nitmiluk","12","T2","37",NA,15,0,"0"
"Nitmiluk","12","T2","38",NA,10,0,"0"
"Nitmiluk","12","T2","39",NA,10,0,"0"
"Nitmiluk","12","T2","40",NA,15,0,"1"
"Nitmiluk","12","T3","1",40,30,0,"0"
"Nitmiluk","12","T3","2",40,30,0,"0"
"Nitmiluk","12","T3","3",25,30,0,"0"
"Nitmiluk","12","T3","4",40,30,0,"1"
"Nitmiluk","12","T3","5",30,20,0,"1"
"Nitmiluk","12","T3","6",30,20,0,"1"
"Nitmiluk","12","T3","7",40,40,0,"1"
"Nitmiluk","12","T3","8",40,30,0,"0"
"Nitmiluk","12","T3","9",30,30,0,"1"
"Nitmiluk","12","T3","10",80,30,0,"0"
"Nitmiluk","12","T3","11",70,30,0,"0"
"Nitmiluk","12","T3","12",30,30,0,"0"
"Nitmiluk","12","T3","13",50,20,0,"0"
"Nitmiluk","12","T3","14",40,10,0,"0"
"Nitmiluk","12","T3","15",60,10,0,"1"
"Nitmiluk","12","T3","16",50,20,0,"1"
"Nitmiluk","12","T3","17",60,10,0,"1"
"Nitmiluk","12","T3","18",80,20,0,"0"
"Nitmiluk","12","T3","19",80,20,0,"0"
"Nitmiluk","12","T3","20",80,20,0,"0"
"Nitmiluk","12","T3","21",40,10,0,"0"
"Nitmiluk","12","T3","22",40,10,0,"1"
"Nitmiluk","12","T3","23",50,10,0,"1"
"Nitmiluk","12","T3","24",20,20,0,"0"
"Nitmiluk","12","T3","25",25,20,0,"0"
"Nitmiluk","12","T3","26",70,10,0,"0"
"Nitmiluk","12","T3","27",30,20,0,"0"
"Nitmiluk","12","T3","28",30,10,0,"0"
"Nitmiluk","12","T3","29",25,15,0,"0"
"Nitmiluk","12","T3","30",40,30,0,"0"
"Nitmiluk","12","T3","31",40,10,0,"0"
"Nitmiluk","12","T3","32",50,10,0,"0"
"Nitmiluk","12","T3","33",40,10,0,"0"
"Nitmiluk","12","T3","34",50,10,0,"1"
"Nitmiluk","12","T3","35",30,10,0,"1"
"Nitmiluk","12","T3","36",50,10,0,"1"
"Nitmiluk","12","T3","37",25,20,0,"0"
"Nitmiluk","12","T3","38",25,10,0,"0"
"Nitmiluk","12","T3","39",30,2,0,"0"
"Nitmiluk","12","T3","40",25,10,0,"0"
"Nitmiluk","12","T4","1",60,30,0,"0"
"Nitmiluk","12","T4","2",50,20,0,"0"
"Nitmiluk","12","T4","3",45,40,0,"0"
"Nitmiluk","12","T4","4",45,40,0,"1"
"Nitmiluk","12","T4","5",30,20,0,"1"
"Nitmiluk","12","T4","6",45,20,0,"1"
"Nitmiluk","12","T4","7",25,15,0,"0"
"Nitmiluk","12","T4","8",20,10,0,"0"
"Nitmiluk","12","T4","9",20,15,0,"0"
"Nitmiluk","12","T4","10",20,40,0,"0"
"Nitmiluk","12","T4","11",25,10,0,"0"
"Nitmiluk","12","T4","12",35,15,0,"0"
"Nitmiluk","12","T4","13",40,20,0,"0"
"Nitmiluk","12","T4","14",35,5,0,"0"
"Nitmiluk","12","T4","15",25,5,0,"1"
"Nitmiluk","12","T4","16",30,5,0,"1"
"Nitmiluk","12","T4","17",60,5,0,"0"
"Nitmiluk","12","T4","18",50,10,0,"0"
"Nitmiluk","12","T4","19",45,5,0,"0"
"Nitmiluk","12","T4","20",35,5,0,"0"
"Nitmiluk","12","T4","21",40,5,0,"0"
"Nitmiluk","12","T4","22",40,5,0,"1"
"Nitmiluk","12","T4","23",20,5,0,"1"
"Nitmiluk","12","T4","24",25,5,0,"0"
"Nitmiluk","12","T4","25",30,10,0,"0"
"Nitmiluk","12","T4","26",30,30,0,"0"
"Nitmiluk","12","T4","27",45,10,0,"0"
"Nitmiluk","12","T4","28",40,5,0,"0"
"Nitmiluk","12","T4","29",45,0,0,"1"
"Nitmiluk","12","T4","30",35,20,0,"1"
"Nitmiluk","12","T4","31",40,10,0,"0"
"Nitmiluk","12","T4","32",30,30,0,"0"
"Nitmiluk","12","T4","33",40,25,0,"0"
"Nitmiluk","12","T4","34",30,5,0,"1"
"Nitmiluk","12","T4","35",30,10,0,"1"
"Nitmiluk","12","T4","36",40,10,0,"0"
"Nitmiluk","12","T4","37",30,10,0,"0"
"Nitmiluk","12","T4","38",40,10,0,"0"
"Nitmiluk","12","T4","39",35,10,0,"1"
"Nitmiluk","12","T4","40",35,10,5,"1"
"Nitmiluk","12","T5","1",25,20,0,"1"
"Nitmiluk","12","T5","2",20,10,0,"0"
"Nitmiluk","12","T5","3",30,15,0,"0"
"Nitmiluk","12","T5","4",80,5,0,"1"
"Nitmiluk","12","T5","5",80,5,0,"1"
"Nitmiluk","12","T5","6",75,5,0,"1"
"Nitmiluk","12","T5","7",80,5,0,"0"
"Nitmiluk","12","T5","8",65,5,0,"0"
"Nitmiluk","12","T5","9",75,10,0,"0"
"Nitmiluk","12","T5","10",65,5,0,"0"
"Nitmiluk","12","T5","11",60,15,0,"0"
"Nitmiluk","12","T5","12",45,40,0,"0"
"Nitmiluk","12","T5","13",45,30,0,"0"
"Nitmiluk","12","T5","14",55,20,0,"0"
"Nitmiluk","12","T5","15",55,15,0,"0"
"Nitmiluk","12","T5","16",90,15,0,"1"
"Nitmiluk","12","T5","17",80,5,0,"1"
"Nitmiluk","12","T5","18",50,10,0,"0"
"Nitmiluk","12","T5","19",70,5,0,"0"
"Nitmiluk","12","T5","20",50,15,0,"0"
"Nitmiluk","12","T5","21",50,20,0,"1"
"Nitmiluk","12","T5","22",35,35,0,"1"
"Nitmiluk","12","T5","23",50,2,0,"1"
"Nitmiluk","12","T5","24",60,0,20,"0"
"Nitmiluk","12","T5","25",NA,NA,NA,NA
"Nitmiluk","12","T5","26",60,0,10,"0"
"Nitmiluk","12","T5","27",60,10,10,"0"
"Nitmiluk","12","T5","28",60,5,15,"0"
"Nitmiluk","12","T5","29",90,0,10,"1"
"Nitmiluk","12","T5","30",70,5,20,"0"
"Nitmiluk","12","T5","31",70,5,20,"0"
"Nitmiluk","12","T5","32",40,5,20,"0"
"Nitmiluk","12","T5","33",50,0,20,"0"
"Nitmiluk","12","T5","34",80,0,20,"0"
"Nitmiluk","12","T5","35",90,0,5,"0"
"Nitmiluk","12","T5","36",50,0,5,"0"
"Nitmiluk","12","T5","37",50,5,5,"0"
"Nitmiluk","12","T5","38",70,0,25,"0"
"Nitmiluk","12","T5","39",50,5,30,"0"
"Nitmiluk","12","T5","40",70,10,20,"0"
"Nitmiluk","13","T1","1",50,10,0,"1"
"Nitmiluk","13","T1","2",40,10,0,"1"
"Nitmiluk","13","T1","3",70,10,0,"0"
"Nitmiluk","13","T1","4",40,10,0,"1"
"Nitmiluk","13","T1","5",40,10,0,"2"
"Nitmiluk","13","T1","6",90,10,0,"1"
"Nitmiluk","13","T1","7",40,20,0,"1"
"Nitmiluk","13","T1","8",60,20,0,"1"
"Nitmiluk","13","T1","9",50,20,0,"1"
"Nitmiluk","13","T1","10",70,10,0,"0"
"Nitmiluk","13","T1","11",30,10,0,"0"
"Nitmiluk","13","T1","12",30,1,0,"0"
"Nitmiluk","13","T1","13",45,5,0,"0"
"Nitmiluk","13","T1","14",20,10,0,"1"
"Nitmiluk","13","T1","15",25,10,0,"0"
"Nitmiluk","13","T1","16",65,5,0,"0"
"Nitmiluk","13","T1","17",45,5,0,"1"
"Nitmiluk","13","T1","18",65,5,0,"1"
"Nitmiluk","13","T1","19",40,10,0,"1"
"Nitmiluk","13","T1","20",35,5,0,"0"
"Nitmiluk","13","T1","21",100,50,0,"1"
"Nitmiluk","13","T1","22",100,50,0,"0"
"Nitmiluk","13","T1","23",100,30,0,"1"
"Nitmiluk","13","T1","24",40,10,0,"1"
"Nitmiluk","13","T1","25",90,40,0,"1"
"Nitmiluk","13","T1","26",100,40,0,"0"
"Nitmiluk","13","T1","27",50,10,0,"1"
"Nitmiluk","13","T1","28",50,10,0,"1"
"Nitmiluk","13","T1","29",40,10,0,"1"
"Nitmiluk","13","T1","30",100,50,0,"1"
"Nitmiluk","13","T1","31",50,10,0,"1"
"Nitmiluk","13","T1","32",60,10,0,"1"
"Nitmiluk","13","T1","33",50,20,0,"1"
"Nitmiluk","13","T1","34",100,60,0,"1"
"Nitmiluk","13","T1","35",80,50,0,"1"
"Nitmiluk","13","T1","36",60,40,0,"1"
"Nitmiluk","13","T1","37",15,5,0,"0"
"Nitmiluk","13","T1","38",20,5,0,"0"
"Nitmiluk","13","T1","39",55,20,0,"1"
"Nitmiluk","13","T1","40",30,15,0,"0"
"Nitmiluk","13","T2","1",NA,25,0,"0"
"Nitmiluk","13","T2","2",NA,80,0,"1"
"Nitmiluk","13","T2","3",NA,40,0,"1"
"Nitmiluk","13","T2","4",NA,20,0,"1"
"Nitmiluk","13","T2","5",NA,50,1,"1"
"Nitmiluk","13","T2","6",NA,20,5,"1"
"Nitmiluk","13","T2","7",NA,30,0,"1"
"Nitmiluk","13","T2","8",NA,20,0,"1"
"Nitmiluk","13","T2","9",NA,25,2,"1"
"Nitmiluk","13","T2","10",NA,25,0,"0"
"Nitmiluk","13","T2","11",NA,10,1,"0"
"Nitmiluk","13","T2","12",NA,70,1,"0"
"Nitmiluk","13","T2","13",NA,20,2,"0"
"Nitmiluk","13","T2","14",NA,30,0,"0"
"Nitmiluk","13","T2","15",NA,10,1,"0"
"Nitmiluk","13","T2","16",NA,30,2,"0"
"Nitmiluk","13","T2","17",NA,5,2,"1"
"Nitmiluk","13","T2","18",NA,60,1,"1"
"Nitmiluk","13","T2","19",NA,60,0,"0"
"Nitmiluk","13","T2","20",NA,10,0,"0"
"Nitmiluk","13","T2","21",NA,25,0,"1"
"Nitmiluk","13","T2","22",NA,20,0,"0"
"Nitmiluk","13","T2","23",NA,40,3,"1"
"Nitmiluk","13","T2","24",NA,20,0,"1"
"Nitmiluk","13","T2","25",NA,NA,1,"1"
"Nitmiluk","13","T2","26",NA,20,1,"1"
"Nitmiluk","13","T2","27",NA,5,1,"1"
"Nitmiluk","13","T2","28",NA,30,0,"1"
"Nitmiluk","13","T2","29",NA,50,0,"1"
"Nitmiluk","13","T2","30",NA,30,1,"1"
"Nitmiluk","13","T2","31",NA,25,2,"1"
"Nitmiluk","13","T2","32",NA,80,3,"1"
"Nitmiluk","13","T2","33",NA,20,2,"1"
"Nitmiluk","13","T2","34",NA,25,1,"1"
"Nitmiluk","13","T2","35",NA,10,2,"1"
"Nitmiluk","13","T2","36",NA,5,2,"1"
"Nitmiluk","13","T2","37",NA,50,1,"1"
"Nitmiluk","13","T2","38",NA,5,1,"0"
"Nitmiluk","13","T2","39",NA,80,1,"1"
"Nitmiluk","13","T2","40",NA,10,3,"0"
"Nitmiluk","13","T3","1",15,2,0,"0"
"Nitmiluk","13","T3","2",10,25,0,"1"
"Nitmiluk","13","T3","3",15,25,0,"1"
"Nitmiluk","13","T3","4",15,10,0,"1"
"Nitmiluk","13","T3","5",15,5,0,"1"
"Nitmiluk","13","T3","6",15,30,0,"1"
"Nitmiluk","13","T3","7",10,40,0,"1"
"Nitmiluk","13","T3","8",10,15,0,"1"
"Nitmiluk","13","T3","9",10,20,0,"1"
"Nitmiluk","13","T3","10",25,15,0,"0"
"Nitmiluk","13","T3","11",5,5,0,"0"
"Nitmiluk","13","T3","12",5,35,0,"0"
"Nitmiluk","13","T3","13",7,5,0,"0"
"Nitmiluk","13","T3","14",20,5,0,"0"
"Nitmiluk","13","T3","15",20,10,0,"0"
"Nitmiluk","13","T3","16",30,30,0,"0"
"Nitmiluk","13","T3","17",15,10,0,"0"
"Nitmiluk","13","T3","18",10,10,0,"1"
"Nitmiluk","13","T3","19",5,3,0,"1"
"Nitmiluk","13","T3","20",10,10,0,"0"
"Nitmiluk","13","T3","21",35,35,0,"1"
"Nitmiluk","13","T3","22",15,15,0,"0"
"Nitmiluk","13","T3","23",20,25,0,"1"
"Nitmiluk","13","T3","24",35,15,0,"1"
"Nitmiluk","13","T3","25",30,5,0,"1"
"Nitmiluk","13","T3","26",25,15,0,"1"
"Nitmiluk","13","T3","27",15,10,0,"1"
"Nitmiluk","13","T3","28",35,5,0,"1"
"Nitmiluk","13","T3","29",35,5,0,"1"
"Nitmiluk","13","T3","30",15,10,0,"1"
"Nitmiluk","13","T3","31",10,20,0,"1"
"Nitmiluk","13","T3","32",5,60,0,"1"
"Nitmiluk","13","T3","33",20,20,0,"1"
"Nitmiluk","13","T3","34",30,30,0,"1"
"Nitmiluk","13","T3","35",35,55,0,"1"
"Nitmiluk","13","T3","36",10,5,0,"1"
"Nitmiluk","13","T3","37",15,10,0,"0"
"Nitmiluk","13","T3","38",5,20,0,"0"
"Nitmiluk","13","T3","39",10,55,0,"1"
"Nitmiluk","13","T3","40",5,2,0,"0"
"Nitmiluk","13","T4","1",25,5,0,"0"
"Nitmiluk","13","T4","2",20,15,0,"1"
"Nitmiluk","13","T4","3",25,20,0,"1"
"Nitmiluk","13","T4","4",20,15,0,"1"
"Nitmiluk","13","T4","5",20,10,0,"1"
"Nitmiluk","13","T4","6",30,30,0,"1"
"Nitmiluk","13","T4","7",20,15,0,"1"
"Nitmiluk","13","T4","8",20,10,0,"1"
"Nitmiluk","13","T4","9",20,10,0,"1"
"Nitmiluk","13","T4","10",35,15,0,"0"
"Nitmiluk","13","T4","11",20,5,0,"0"
"Nitmiluk","13","T4","12",25,20,0,"0"
"Nitmiluk","13","T4","13",15,5,0,"0"
"Nitmiluk","13","T4","14",20,5,0,"1"
"Nitmiluk","13","T4","15",25,5,0,"0"
"Nitmiluk","13","T4","16",25,30,0,"0"
"Nitmiluk","13","T4","17",15,10,0,"0"
"Nitmiluk","13","T4","18",15,30,0,"1"
"Nitmiluk","13","T4","19",20,10,0,"1"
"Nitmiluk","13","T4","20",15,15,0,"1"
"Nitmiluk","13","T4","21",30,35,0,"1"
"Nitmiluk","13","T4","22",25,30,0,"0"
"Nitmiluk","13","T4","23",15,25,0,"1"
"Nitmiluk","13","T4","24",35,15,0,"1"
"Nitmiluk","13","T4","25",25,20,0,"1"
"Nitmiluk","13","T4","26",30,20,0,"1"
"Nitmiluk","13","T4","27",25,10,0,"1"
"Nitmiluk","13","T4","28",25,15,0,"0"
"Nitmiluk","13","T4","29",20,5,0,"1"
"Nitmiluk","13","T4","30",20,15,0,"1"
"Nitmiluk","13","T4","31",20,20,0,"1"
"Nitmiluk","13","T4","32",15,20,0,"1"
"Nitmiluk","13","T4","33",20,10,0,"1"
"Nitmiluk","13","T4","34",30,20,0,"1"
"Nitmiluk","13","T4","35",35,30,0,"1"
"Nitmiluk","13","T4","36",25,10,0,"1"
"Nitmiluk","13","T4","37",20,10,0,"0"
"Nitmiluk","13","T4","38",20,20,0,"0"
"Nitmiluk","13","T4","39",25,30,0,"1"
"Nitmiluk","13","T4","40",12,5,0,"0"
"Nitmiluk","13","T5","1",30,20,0,"1"
"Nitmiluk","13","T5","2",20,5,0,"1"
"Nitmiluk","13","T5","3",20,25,0,"1"
"Nitmiluk","13","T5","4",15,20,0,"1"
"Nitmiluk","13","T5","5",15,20,0,"2"
"Nitmiluk","13","T5","6",22,10,0,"1"
"Nitmiluk","13","T5","7",15,30,0,"1"
"Nitmiluk","13","T5","8",20,10,0,"1"
"Nitmiluk","13","T5","9",22,10,0,"1"
"Nitmiluk","13","T5","10",25,25,0,"1"
"Nitmiluk","13","T5","11",15,5,0,"0"
"Nitmiluk","13","T5","12",15,5,0,"1"
"Nitmiluk","13","T5","13",20,10,0,"1"
"Nitmiluk","13","T5","14",20,10,0,"0"
"Nitmiluk","13","T5","15",20,15,0,"0"
"Nitmiluk","13","T5","16",25,5,0,"0"
"Nitmiluk","13","T5","17",20,20,0,"1"
"Nitmiluk","13","T5","18",20,10,0,"1"
"Nitmiluk","13","T5","19",17,5,0,"1"
"Nitmiluk","13","T5","20",20,10,0,"1"
"Nitmiluk","13","T5","21",20,10,0,"1"
"Nitmiluk","13","T5","22",20,10,0,"1"
"Nitmiluk","13","T5","23",15,5,0,"1"
"Nitmiluk","13","T5","24",15,10,0,"1"
"Nitmiluk","13","T5","25",20,15,0,"0"
"Nitmiluk","13","T5","26",20,40,0,"1"
"Nitmiluk","13","T5","27",20,40,0,"0"
"Nitmiluk","13","T5","28",25,10,0,"1"
"Nitmiluk","13","T5","29",20,10,0,"1"
"Nitmiluk","13","T5","30",20,10,0,"1"
"Nitmiluk","13","T5","31",0,5,0,"1"
"Nitmiluk","13","T5","32",15,30,0,"1"
"Nitmiluk","13","T5","33",20,40,0,"1"
"Nitmiluk","13","T5","34",20,10,0,"0"
"Nitmiluk","13","T5","35",25,15,0,"1"
"Nitmiluk","13","T5","36",20,10,0,"0"
"Nitmiluk","13","T5","37",15,5,0,"0"
"Nitmiluk","13","T5","38",20,5,0,"0"
"Nitmiluk","13","T5","39",15,10,0,"0"
"Nitmiluk","13","T5","40",20,5,0,"0"
"Nitmiluk","14","T1","1",100,1,95,"0"
"Nitmiluk","14","T1","2",100,1,90,"0"
"Nitmiluk","14","T1","3",100,10,60,"0"
"Nitmiluk","14","T1","4",100,5,40,"0"
"Nitmiluk","14","T1","5",100,10,50,"0"
"Nitmiluk","14","T1","6",100,10,10,"0"
"Nitmiluk","14","T1","7",100,5,95,"0"
"Nitmiluk","14","T1","8",100,10,10,"0"
"Nitmiluk","14","T1","9",100,0,100,"0"
"Nitmiluk","14","T1","10",100,0,100,"0"
"Nitmiluk","14","T1","11",100,0,100,"0"
"Nitmiluk","14","T1","12",95,0,95,"0"
"Nitmiluk","14","T1","13",100,0,100,"0"
"Nitmiluk","14","T1","14",100,5,50,"1"
"Nitmiluk","14","T1","15",100,1,100,"0"
"Nitmiluk","14","T1","16",90,5,75,"0"
"Nitmiluk","14","T1","17",95,20,5,"0"
"Nitmiluk","14","T1","18",100,0,100,"0"
"Nitmiluk","14","T1","19",95,5,80,"0"
"Nitmiluk","14","T1","20",95,0,95,"0"
"Nitmiluk","14","T1","21",100,30,20,"0"
"Nitmiluk","14","T1","22",100,0,95,"0"
"Nitmiluk","14","T1","23",100,10,80,"0"
"Nitmiluk","14","T1","24",100,5,65,"0"
"Nitmiluk","14","T1","25",100,1,80,"0"
"Nitmiluk","14","T1","26",100,0,100,"0"
"Nitmiluk","14","T1","27",100,0,100,"0"
"Nitmiluk","14","T1","28",100,0,100,"0"
"Nitmiluk","14","T1","29",100,1,95,"0"
"Nitmiluk","14","T1","30",100,60,20,"0"
"Nitmiluk","14","T1","31",100,0,100,"0"
"Nitmiluk","14","T1","32",100,1,100,"0"
"Nitmiluk","14","T1","33",100,10,80,"0"
"Nitmiluk","14","T1","34",100,5,70,"0"
"Nitmiluk","14","T1","35",85,5,10,"0"
"Nitmiluk","14","T1","36",100,1,90,"0"
"Nitmiluk","14","T1","37",100,5,90,"0"
"Nitmiluk","14","T1","38",60,5,20,"0"
"Nitmiluk","14","T1","39",100,10,100,"0"
"Nitmiluk","14","T1","40",100,30,100,"0"
"Nitmiluk","14","T2","1",NA,20,0,"0"
"Nitmiluk","14","T2","2",NA,10,0,"0"
"Nitmiluk","14","T2","3",NA,15,0,"0"
"Nitmiluk","14","T2","4",NA,5,0,"0"
"Nitmiluk","14","T2","5",NA,10,0,"0"
"Nitmiluk","14","T2","6",NA,5,0,"0"
"Nitmiluk","14","T2","7",NA,5,0,"1"
"Nitmiluk","14","T2","8",NA,5,0,"0"
"Nitmiluk","14","T2","9",NA,10,0,"0"
"Nitmiluk","14","T2","10",NA,10,0,"0"
"Nitmiluk","14","T2","11",NA,5,50,"0"
"Nitmiluk","14","T2","12",NA,5,0,"1"
"Nitmiluk","14","T2","13",NA,15,50,"0"
"Nitmiluk","14","T2","14",NA,5,60,"0"
"Nitmiluk","14","T2","15",NA,15,50,"0"
"Nitmiluk","14","T2","16",NA,5,10,"0"
"Nitmiluk","14","T2","17",NA,5,0,"0"
"Nitmiluk","14","T2","18",NA,5,0,"0"
"Nitmiluk","14","T2","19",NA,10,5,"0"
"Nitmiluk","14","T2","20",NA,20,10,"0"
"Nitmiluk","14","T2","21",NA,10,0,"0"
"Nitmiluk","14","T2","22",NA,10,0,"0"
"Nitmiluk","14","T2","23",NA,10,0,"1"
"Nitmiluk","14","T2","24",NA,10,0,"0"
"Nitmiluk","14","T2","25",NA,15,0,"0"
"Nitmiluk","14","T2","26",NA,5,0,"0"
"Nitmiluk","14","T2","27",NA,10,0,"0"
"Nitmiluk","14","T2","28",NA,10,0,"0"
"Nitmiluk","14","T2","29",NA,10,0,"0"
"Nitmiluk","14","T2","30",NA,5,0,"0"
"Nitmiluk","14","T2","31",NA,10,0,"0"
"Nitmiluk","14","T2","32",NA,20,0,"0"
"Nitmiluk","14","T2","33",NA,20,0,"0"
"Nitmiluk","14","T2","34",NA,10,0,"1"
"Nitmiluk","14","T2","35",NA,10,0,"0"
"Nitmiluk","14","T2","36",NA,5,0,"0"
"Nitmiluk","14","T2","37",NA,5,0,"0"
"Nitmiluk","14","T2","38",NA,10,0,"0"
"Nitmiluk","14","T2","39",NA,10,0,"0"
"Nitmiluk","14","T2","40",NA,10,0,"0"
"Nitmiluk","14","T3","1",40,10,0,"0"
"Nitmiluk","14","T3","2",30,5,0,"0"
"Nitmiluk","14","T3","3",30,10,0,"0"
"Nitmiluk","14","T3","4",25,10,0,"0"
"Nitmiluk","14","T3","5",20,5,2,"0"
"Nitmiluk","14","T3","6",60,10,0,"0"
"Nitmiluk","14","T3","7",15,5,0,"0"
"Nitmiluk","14","T3","8",10,5,0,"0"
"Nitmiluk","14","T3","9",15,5,0,"0"
"Nitmiluk","14","T3","10",10,5,0,"0"
"Nitmiluk","14","T3","11",15,5,5,"0"
"Nitmiluk","14","T3","12",10,5,0,"0"
"Nitmiluk","14","T3","13",15,80,0,"1"
"Nitmiluk","14","T3","14",5,0,50,"0"
"Nitmiluk","14","T3","15",15,5,70,"0"
"Nitmiluk","14","T3","16",15,5,80,"0"
"Nitmiluk","14","T3","17",10,20,100,"0"
"Nitmiluk","14","T3","18",20,15,20,"0"
"Nitmiluk","14","T3","19",0,5,100,"0"
"Nitmiluk","14","T3","20",15,30,20,"0"
"Nitmiluk","14","T3","21",15,5,0,"0"
"Nitmiluk","14","T3","22",20,5,0,"0"
"Nitmiluk","14","T3","23",15,5,0,"1"
"Nitmiluk","14","T3","24",10,5,0,"0"
"Nitmiluk","14","T3","25",20,5,0,"0"
"Nitmiluk","14","T3","26",20,50,0,"0"
"Nitmiluk","14","T3","27",5,5,0,"0"
"Nitmiluk","14","T3","28",25,10,0,"0"
"Nitmiluk","14","T3","29",30,5,0,"1"
"Nitmiluk","14","T3","30",30,5,0,"1"
"Nitmiluk","14","T3","31",30,5,0,"0"
"Nitmiluk","14","T3","32",20,10,0,"0"
"Nitmiluk","14","T3","33",70,15,0,"1"
"Nitmiluk","14","T3","34",15,5,0,"1"
"Nitmiluk","14","T3","35",20,20,0,"0"
"Nitmiluk","14","T3","36",20,40,0,"0"
"Nitmiluk","14","T3","37",10,40,0,"0"
"Nitmiluk","14","T3","38",30,10,0,"0"
"Nitmiluk","14","T3","39",15,20,0,"0"
"Nitmiluk","14","T3","40",25,10,0,"0"
"Nitmiluk","14","T4","1",30,5,0,"0"
