"id","visit_code","species","abundance","recapture","sex","age_cohort","trap_type","trap_number","tissue"
"19704","141-1-4-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","4","Yes"
"19705","141-1-4-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","9","Yes"
"19706","141-1-4-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","1","Yes"
"19707","141-1-4-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","2","Yes"
"19708","141-1-4-2","Antechinus stuartii",1,"Yes","Female","","Elliott","5","No"
"19709","141-1-4-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","Yes"
"19710","141-1-4-3","Antechinus stuartii",1,"Yes","Female","Juvenile","Elliott","1","No"
"19711","141-1-4-3","Antechinus stuartii",1,"Yes","","","Elliott","3","No"
"19712","141-1-4-3","Antechinus stuartii",1,"Yes","","","Elliott","7","No"
"19783","141-1-43-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","4","Yes"
"19784","141-1-43-1","Antechinus stuartii",1,"No","Male","Adult","Elliott","6","Yes"
"19785","141-1-43-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","Yes"
"19786","141-1-43-1","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","1","No"
"19787","141-1-43-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","Yes"
"19788","141-1-43-2","Antechinus stuartii",1,"Yes","","","Elliott","4","No"
"19789","141-1-43-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","9","Yes"
"19790","141-1-43-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","10","No"
"19791","141-1-43-2","Trichosurus vulpecula",1,"Yes","","","Large Cage","1","No"
"19792","141-1-43-3","Antechinus stuartii",1,"No","Female","Subadult","Elliott","3","Yes"
"19793","141-1-43-3","Antechinus stuartii",1,"Yes","","","Elliott","4","No"
"19794","141-1-43-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","7","Yes"
"19795","141-1-43-3","Antechinus stuartii",1,"Yes","","","Elliott","10","No"
"19796","141-1-44-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","Yes"
"19797","141-1-44-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","4","Yes"
"19798","141-1-44-1","Trichosurus vulpecula",1,"No","Male","Adult","Large Cage","4","No"
"19799","141-1-44-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","7","Yes"
"19800","141-1-44-2","Antechinus stuartii",1,"Yes","","","Elliott","9","No"
"19801","141-1-44-2","Rattus fuscipes",1,"No","Female","Juvenile","Elliott","10","Yes"
"19802","141-1-44-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","2","Yes"
"19803","141-1-44-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","5","Yes"
"19804","141-1-44-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","7","Yes"
"19805","141-1-44-3","Rattus fuscipes",1,"No","Female","Subadult","Elliott","8","Yes"
"19806","141-1-44-3","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","10","Yes"
"19721","141-1-8-2","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","6","No"
"19722","141-1-8-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","3","Yes"
"19723","141-1-9-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","Yes"
"19724","141-1-9-1","Trichosurus vulpecula",1,"No","Male","","Small Cage","5","No"
"19725","141-1-9-2","Rattus fuscipes",1,"No","Female","Subadult","Elliott","5","Yes"
"19726","141-1-9-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","7","Yes"
"19727","141-1-9-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","9","No"
"19728","141-1-9-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","10","Yes"
"19729","141-1-9-3","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","1","Yes"
"19730","141-1-9-3","Rattus fuscipes",1,"Yes","Female","Subadult","Elliott","3","No"
"19731","141-1-9-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","7","No"
"19732","141-1-9-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","9","Yes"
"19733","141-1-9-3","Trichosurus vulpecula",1,"Yes","Male","Juvenile","Large Cage","1","No"
"20310","141-10-32-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","3","Yes"
"20311","141-10-32-2","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","5","No"
"20312","141-10-32-3","Antechinus stuartii",1,"Yes","","","Elliott","5","No"
"20313","141-10-32-3","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","6","Yes"
"20282","141-10-5-1","Rattus fuscipes",1,"No","Female","Subadult","Elliott","5","Yes"
"20283","141-10-5-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","3","Yes"
"20284","141-10-5-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","4","Yes"
"20285","141-10-5-2","Rattus fuscipes",1,"","","","Elliott","5",""
"20286","141-10-5-3","Rattus fuscipes",1,"No","Male","Juvenile","Elliott","3","Yes"
"20287","141-10-5-3","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","4","No"
"20291","141-10-7-1","Rattus fuscipes",1,"No","Female","Subadult","Elliott","8","Yes"
"20292","141-10-7-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","10","Yes"
"20293","141-10-7-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","2","Yes"
"20294","141-10-7-3","Rattus fuscipes",1,"Yes","","","Elliott","5","No"
"20295","141-10-7-3","Antechinus stuartii",1,"Yes","","","Elliott","6","No"
"20320","141-11-3-1","Antechinus stuartii",1,"No","Female","Subadult","Elliott","5","Yes"
"20321","141-11-3-1","Trichosurus vulpecula",1,"No","Male","Subadult","Small Cage","2","No"
"20322","141-11-3-1","Rattus fuscipes",1,"No","Male","Adult","Small Cage","4","No"
"20323","141-11-3-2","Rattus fuscipes",1,"Yes","","Adult","Elliott","3","No"
"20324","141-11-3-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","9","No"
"20325","141-11-3-3","Rattus lutreolus",1,"No","Male","Adult","Small Cage","4","Yes"
"20388","141-11-3-3","Rattus fuscipes",1,"Yes","","","Elliott","8","No"
"20354","141-12-4-2","Rattus lutreolus",1,"No","Male","Juvenile","Elliott","6","Yes"
"20355","141-12-4-3","Rattus lutreolus",1,"Yes","Male","Juvenile","Elliott","7","No"
"20357","141-12-8-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","9","Yes"
"20358","141-12-8-2","Tachyglossus aculeatus",1,"No","","Adult","Small Cage","5","No"
"20373","141-12-A-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","6","Yes"
"20374","141-12-A-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","9","Yes"
"20375","141-12-A-3","Rattus lutreolus",1,"No","Male","Juvenile","Elliott","1","Yes"
"20381","141-12-C-2","Rattus fuscipes",1,"","Male","Adult","Elliott","3","No"
"20383","141-12-C-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","1","Yes"
"20384","141-12-C-3","Antechinus stuartii",1,"No","Female","Subadult","Elliott","10","Yes"
"19930","141-4-24-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","3","Yes"
"19931","141-4-24-1","Rattus fuscipes",1,"No","Female","Juvenile","Elliott","6","Yes"
"19932","141-4-24-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","9","Yes"
"19933","141-4-24-1","Trichosurus vulpecula",1,"No","Female","Adult","Large Cage","1","No"
"19934","141-4-24-2","Rattus fuscipes",1,"Yes","Female","Subadult","Elliott","1","No"
"19935","141-4-24-2","Rattus fuscipes",1,"No","Male","Subadult","Elliott","5","Yes"
"19936","141-4-24-3","Rattus fuscipes",1,"Yes","Female","Juvenile","Elliott","6","No"
"19937","141-4-24-3","Rattus fuscipes",1,"No","Male","Subadult","Elliott","9","Yes"
"19938","141-4-24-3","Trichosurus vulpecula",1,"No","Female","Subadult","Small Cage","2","No"
"19944","141-4-A-1","Antechinus stuartii",1,"No","Male","Subadult","Elliott","3","Yes"
"19945","141-4-A-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","8","Yes"
"19946","141-4-A-2","Antechinus stuartii",1,"Yes","","","Elliott","4","No"
"19947","141-4-A-3","Rattus fuscipes",1,"Yes","","","Elliott","3","No"
"19948","141-4-A-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","4","Yes"
"19949","141-4-B-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","2","Yes"
"19950","141-4-B-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","6","Yes"
"19951","141-4-B-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","8","Yes"
"19952","141-4-B-2","Rattus fuscipes",1,"Yes","","","Elliott","3","No"
"19953","141-4-B-3","Rattus fuscipes",1,"No","Female","Adult","Elliott","5","Yes"
"19954","141-4-B-3","Rattus fuscipes",1,"Yes","","","Elliott","8","No"
"20036","141-6-109-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","Yes"
"20037","141-6-109-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","9","Yes"
"20038","141-6-109-2","Antechinus stuartii",1,"No","","Juvenile","Elliott","1","Yes"
"20039","141-6-109-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","8","Yes"
"20040","141-6-109-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","10","Yes"
"20041","141-6-109-3","Antechinus stuartii",1,"Yes","","","Elliott","6","No"
"20042","141-6-109-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","8","Yes"
"20043","141-6-115-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","Yes"
"20044","141-6-115-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","7","Yes"
"20045","141-6-115-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","8","Yes"
"20046","141-6-115-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","3","Yes"
"20047","141-6-115-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","6","Yes"
"20048","141-6-115-2","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","7","No"
"20049","141-6-115-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","9","Yes"
"20050","141-6-115-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","10","Yes"
"20051","141-6-115-3","Antechinus stuartii",1,"Yes","","","Elliott","7","No"
"20052","141-6-115-3","Antechinus stuartii",1,"Yes","","","Elliott","10","No"
"19967","141-6-12-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","6","Yes"
"19968","141-6-12-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","9","Yes"
"19969","141-6-12-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","10","Yes"
"19970","141-6-12-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","6","Yes"
"19971","141-6-12-2","Antechinus stuartii",1,"Yes","Female","Juvenile","Elliott","9","No"
"19972","141-6-12-3","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","1","No"
"19973","141-6-12-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","9","Yes"
"20056","141-6-139-1","Antechinus stuartii",1,"No","Female","Subadult","Elliott","6","Yes"
"20057","141-6-139-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","2","Yes"
"20059","141-6-139-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","9","Yes"
"20060","141-6-139-3","Rattus fuscipes",1,"Yes","","","Elliott","9","No"
"20064","141-6-149-1","Antechinus stuartii",1,"No","Female","Subadult","Elliott","1","Yes"
"20065","141-6-149-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","Yes"
"20066","141-6-149-1","Rattus fuscipes",1,"No","Male","Subadult","Elliott","4","Yes"
"20067","141-6-149-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","Yes"
"20068","141-6-149-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","1","No"
"20069","141-6-149-2","Antechinus stuartii",1,"Yes","","","Elliott","2","No"
"20070","141-6-149-2","Antechinus stuartii",1,"No","Female","Subadult","Elliott","8","No"
"20071","141-6-149-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","9","Yes"
"20072","141-6-149-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","1","No"
"20073","141-6-149-3","Rattus fuscipes",1,"Yes","Male","Subadult","Elliott","5","No"
"20074","141-6-149-3","Perameles nasuta",1,"No","Female","Adult","Small Cage","3","No"
"20081","141-6-155-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","7","Yes"
"20082","141-6-155-1","Antechinus stuartii",1,"No","Male","Subadult","Elliott","9","Yes"
"20083","141-6-155-2","Rattus fuscipes",1,"Yes","","","Elliott","2","No"
"20084","141-6-155-3","Rattus fuscipes",1,"Yes","","","Elliott","2","No"
"20085","141-6-155-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","8","Yes"
"20089","141-6-162-1","Antechinus stuartii",1,"No","Female","Subadult","Elliott","2","Yes"
"20090","141-6-162-1","Rattus fuscipes",1,"No","Female","Adult","Small Cage","5","Yes"
"20091","141-6-162-2","Antechinus stuartii",1,"No","Female","Subadult","Elliott","2","Yes"
"20092","141-6-162-3","Antechinus stuartii",1,"No","Female","Subadult","Elliott","6","Yes"
"20093","141-6-162-3","Rattus fuscipes",1,"Yes","","","Small Cage","5","No"
"20094","141-6-163-1","Antechinus stuartii",1,"No","Female","Subadult","Elliott","7","Yes"
"20095","141-6-163-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","2","Yes"
"20096","141-6-163-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","4","Yes"
"20097","141-6-163-2","Antechinus stuartii",1,"Yes","Female","Juvenile","Elliott","6","No"
"20098","141-6-163-2","Rattus fuscipes",1,"No","Male","Subadult","Elliott","9","Yes"
"20099","141-6-163-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","1","Yes"
"20100","141-6-163-3","Antechinus stuartii",1,"Yes","","","Elliott","6","No"
"20101","141-6-163-3","Rattus fuscipes",1,"Yes","","","Elliott","8","No"
"19979","141-6-30-2","Antechinus stuartii",1,"No","Female","Subadult","Elliott","8","No"
"19980","141-6-30-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","2","No"
"19981","141-6-42-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","9","Yes"
"19982","141-6-42-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","Yes"
"19983","141-6-42-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","5","Yes"
"19984","141-6-42-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","8","Yes"
"19985","141-6-42-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","Yes"
"19986","141-6-42-3","Antechinus stuartii",1,"Yes","","","Elliott","5","No"
"19987","141-6-42-3","Rattus fuscipes",1,"Yes","","","Elliott","6","No"
"19988","141-6-42-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","7","No"
"19989","141-6-42-3","Antechinus stuartii",1,"Yes","","","Elliott","8","No"
"19990","141-6-45-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","3","Yes"
"19991","141-6-45-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","7","Yes"
"19992","141-6-45-1","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","10","Yes"
"19993","141-6-45-1","Trichosurus vulpecula",1,"No","Female","Subadult","Large Cage","6","No"
"19995","141-6-45-3","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","9","No"
"19996","141-6-45-3","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","10","Yes"
"19997","141-6-54-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","Yes"
"19998","141-6-54-1","Antechinus stuartii",1,"No","Female","Subadult","Elliott","10","Yes"
"20000","141-6-54-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","10","Yes"
"20002","141-6-54-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","4","Yes"
"20003","141-6-54-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","7","Yes"
"20004","141-6-54-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","8","Yes"
"20005","141-6-54-3","Antechinus stuartii",1,"No","Female","Subadult","Elliott","9","Yes"
"20006","141-6-54-3","Antechinus stuartii",1,"Yes","Female","","Elliott","10","No"
"20008","141-6-54A-2","Antechinus stuartii",1,"No","Female","Subadult","Elliott","2","Yes"
"20009","141-6-54A-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","10","Yes"
"20011","141-6-59-1","Antechinus stuartii",1,"No","Male","Subadult","Elliott","1","No"
"20012","141-6-59-1","Rattus fuscipes",1,"No","","Adult","Elliott","6","No"
"20013","141-6-59-2","Rattus fuscipes",1,"No","Female","Juvenile","Elliott","1","Yes"
"20014","141-6-59-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","3","Yes"
"20015","141-6-59-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","7","Yes"
"20016","141-6-59-2","Antechinus stuartii",1,"No","Female","Subadult","Elliott","8","Yes"
"20017","141-6-59-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","Yes"
"20018","141-6-59-2","Rattus fuscipes",1,"No","Male","Adult","Small Cage","5","Yes"
"20019","141-6-59-3","Rattus fuscipes",1,"Yes","","","Elliott","1","No"
"20020","141-6-59-3","Antechinus stuartii",1,"No","Female","Subadult","Elliott","3","Yes"
"20021","141-6-59-3","Antechinus stuartii",1,"Yes","","","Elliott","7","No"
"20022","141-6-59-3","Antechinus stuartii",1,"No","Male","Subadult","Elliott","10","Yes"
"20023","141-6-59-3","Perameles nasuta",1,"No","Female","Adult","Small Cage","4","Yes"
"20024","141-6-64-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","7","Yes"
"20025","141-6-64-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","8","Yes"
"20102","141-7-1-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","2","Yes"
"20103","141-7-1-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","3","Yes"
"20105","141-7-1-2","Rattus fuscipes",1,"Yes","","Adult","Elliott","9","No"
"20106","141-7-1-2","Perameles nasuta",1,"No","Female","Adult","Small Cage","3","No"
"20107","141-7-1-3","Rattus fuscipes",1,"Yes","","","Elliott","10","No"
"20121","141-7-14-1","Perameles nasuta",1,"No","Male","Adult","Elliott","3","Yes"
"20122","141-7-14-2","Perameles nasuta",1,"Yes","Male","Adult","Elliott","3","No"
"20123","141-7-14-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","9","Yes"
"20125","141-7-14-3","Wallabia bicolor",1,"No","","Adult","Large Cage","6","No"
"20127","141-7-20-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","1","Yes"
"20128","141-7-20-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","1","Yes"
"20129","141-7-20-3","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","3","Yes"
"20130","141-7-20-3","Antechinus stuartii",1,"No","Male","Adult","Elliott","8","Yes"
"20133","141-7-44-3","Rattus fuscipes",1,"No","Male","Adult","Elliott","6","Yes"
"20167","141-7-73-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","8","Yes"
"20168","141-7-73-2","Antechinus stuartii",1,"No","Male","Adult","Elliott","2","Yes"
"20169","141-7-73-2","Antechinus stuartii",1,"No","Male","Adult","Elliott","10","Yes"
"20170","141-7-73-3","Antechinus stuartii",1,"Yes","Female","","Elliott","1","No"
"20171","141-7-73-3","Antechinus stuartii",1,"No","","","Elliott","6","No"
"20172","141-7-73-3","Antechinus stuartii",1,"Yes","Male","","Elliott","9","No"
"20173","141-7-78-1","Rattus fuscipes",1,"No","Male","Juvenile","Elliott","2","Yes"
"20174","141-7-78-1","Trichosurus vulpecula",1,"No","Female","Juvenile","Small Cage","2","No"
"20175","141-7-78-2","Rattus fuscipes",1,"No","Male","Subadult","Elliott","3","Yes"
"20176","141-7-78-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","5","Yes"
"20177","141-7-78-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","7","Yes"
"20179","141-7-78-3","Rattus fuscipes",1,"Yes","Male","Subadult","Elliott","3","No"
"20180","141-7-78-3","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","6","No"
"20185","141-7-84-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","3","Yes"
"20186","141-7-84-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","10","Yes"
"20187","141-7-84-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","1","Yes"
"20188","141-7-84-2","Rattus fuscipes",1,"Yes","","","Elliott","2","No"
"20189","141-7-84-2","Antechinus stuartii",1,"Yes","Female","","Elliott","9","No"
"20190","141-7-84-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","10","Yes"
"20191","141-7-84-3","Rattus fuscipes",1,"Yes","","Adult","Elliott","1","No"
"20192","141-7-84-3","Antechinus stuartii",1,"Yes","","","Elliott","6","No"
"20193","141-7-92-1","Rattus fuscipes",1,"No","Male","Subadult","Elliott","6","Yes"
"20194","141-7-92-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","2","Yes"
"20195","141-7-92-2","Antechinus stuartii",1,"No","Female","Subadult","Elliott","3","Yes"
"20196","141-7-92-2","Rattus fuscipes",1,"No","Male","Adult","Small Cage","3","Yes"
"20197","141-7-92-2","Rattus fuscipes",1,"Yes","","","Small Cage","4","No"
"20198","141-7-92-3","Rattus fuscipes",1,"Yes","","","Elliott","3","No"
"20200","141-7-94-2","Pseudomys gracilicaudatus",1,"No","Male","Juvenile","Elliott","5","Yes"
"20202","141-7-95-1","Pseudomys gracilicaudatus",1,"No","Female","Juvenile","Elliott","1","Yes"
"20203","141-7-95-1","Pseudomys gracilicaudatus",1,"No","Male","Adult","Elliott","5","Yes"
"20204","141-7-95-2","Pseudomys gracilicaudatus",1,"Yes","Female","Juvenile","Elliott","3","No"
"20205","141-7-95-2","Pseudomys gracilicaudatus",1,"Yes","Male","Juvenile","Elliott","6","No"
"20234","141-8-17-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","2","Yes"
"20235","141-8-17-1","Rattus fuscipes",1,"No","Female","Juvenile","Elliott","5","Yes"
"20236","141-8-17-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","9","Yes"
"20237","141-8-17-2","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","1","Yes"
"20238","141-8-17-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","2","Yes"
"20239","141-8-17-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","6","Yes"
"20240","141-8-17-2","Antechinus stuartii",1,"Yes","Female","Juvenile","Elliott","10","No"
"20241","141-8-17-2","Rattus fuscipes",1,"Yes","Female","Adult","Small Cage","4","No"
"20242","141-8-17-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","1","Yes"
"20243","141-8-17-3","Rattus fuscipes",1,"Yes","Female","Juvenile","Elliott","2","No"
"20244","141-8-17-3","Antechinus stuartii",1,"Yes","Male","Juvenile","Elliott","6","No"
"20245","141-8-17-3","Antechinus stuartii",1,"Yes","Female","Juvenile","Elliott","9","No"
"20246","141-8-17-3","Rattus fuscipes",1,"No","Male","Juvenile","Small Cage","5","Yes"
"20214","141-8-2-1","Rattus fuscipes",1,"No","Female","Adult","Elliott","4","Yes"
"20215","141-8-2-2","Antechinus stuartii",1,"No","Male","Subadult","Elliott","4","Yes"
"20216","141-8-2-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","5","Yes"
"20217","141-8-2-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","7","Yes"
"20218","141-8-2-3","Rattus fuscipes",1,"Yes","","","Elliott","5","No"
"20219","141-8-2-3","Rattus fuscipes",1,"Yes","","","Elliott","9","No"
"20220","141-8-3-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","3","Yes"
"20221","141-8-3-1","Rattus fuscipes",1,"No","Male","Adult","Elliott","7","Yes"
"20222","141-8-3-1","Rattus fuscipes",1,"No","Male","Subadult","Small Cage","4","Yes"
"20223","141-8-3-2","Rattus fuscipes",1,"No","Female","Subadult","Elliott","2","Yes"
"20224","141-8-3-2","Rattus fuscipes",1,"No","Male","Adult","Elliott","4","Yes"
"20225","141-8-3-2","Rattus fuscipes",1,"Yes","","","Elliott","9","No"
"20226","141-8-3-2","Rattus fuscipes",1,"Yes","","","Small Cage","3","No"
"20227","141-8-3-3","Rattus fuscipes",1,"Yes","","","Elliott","1","No"
"20228","141-8-3-3","Rattus fuscipes",1,"Yes","","","Small Cage","3","No"
"20252","141-8-41-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","8","Yes"
"20253","141-8-41-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","10","Yes"
"20254","141-8-41-3","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","4","Yes"
"20255","141-8-41-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","Yes"
"20256","141-8-A-1","Antechinus stuartii",1,"No","Female","Juvenile","Elliott","8","No"
"20257","141-8-A-2","Antechinus stuartii",1,"","Female","Adult","Elliott","2",""
"20258","141-8-A-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","Yes"
"20260","141-8-A-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","No"
"20261","141-8-A-3","Antechinus stuartii",1,"Yes","Female","Subadult","Elliott","3","No"
"20262","141-8-A-3","Antechinus stuartii",1,"Yes","","","Elliott","4","No"
"20263","141-9-1-1","Perameles nasuta",1,"No","Female","Adult","Small Cage","2","Yes"
"20264","141-9-1-2","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","5","Yes"
"20265","141-9-1-2","Rattus fuscipes",1,"No","Female","Adult","Elliott","9","Yes"
"20269","141-9-3-3","Antechinus stuartii",1,"No","Male","Juvenile","Elliott","7","Yes"
"20276","141-9-8-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","Yes"
"20389","142-1-6-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","2","Yes"
"20390","142-1-6-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","No"
"20391","142-1-6-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","8","Yes"
"20392","142-1-6-2","Antechinus stuartii",1,"Yes","","","Elliott","10",""
"20393","142-1-6-3","Antechinus stuartii",1,"Yes","","","Elliott","4",""
"20394","142-1-9-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","Yes"
"20395","142-1-9-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","5","Yes"
"20396","142-1-9-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","8","Yes"
"20398","142-1-9-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","2","No"
"20399","142-1-9-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","4","No"
"20403","142-1-9-3","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","No"
"20405","142-1-10-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","3","Yes"
"20406","142-1-10-2","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","2","No"
"20407","142-1-10-3","Antechinus stuartii",1,"Yes","Female","Adult","Elliott","1","Yes"
"20410","142-1-25-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","9","Yes"
"20418","142-1-33-2","Antechinus stuartii",1,"No","Female","Adult","Elliott","10","No"
"20431","142-1-43-1","Antechinus stuartii",1,"No","Female","Adult","Elliott","6","Yes"
